date,ControllerSim-0.Controller_0-tes0_heat_out_F,ControllerSim-0.Controller_0-tes0_heat_in_F,ControllerSim-0.Controller_0-tes0_hp_out_F,ControllerSim-0.Controller_0-hp_in_F,ControllerSim-0.Controller_0-tes1_hp_out_F
2022-01-01 00:00:00,-0.04242772827159418,0.04242772827159418,-0.0,0.0,0.04242772827159418
2022-01-01 00:15:00,-0.7744277904916546,0.7744277904916546,-0.0,0.0,0.7744277904916546
2022-01-01 00:30:00,-0.8463835266561825,0.8463835266561825,-0.0,0.0,0.8463835266561825
2022-01-01 00:45:00,-1.0499838918131132,1.0499838918131132,-0.0,0.0,1.0499838918131132
2022-01-01 01:00:00,-1.730072915875607,1.730072915875607,-0.0,0.0,1.730072915875607
2022-01-01 01:15:00,0.807478489421992,2.428232034878008,-3.2357105243,3.2357105243,-0.807478489421992
2022-01-01 01:30:00,-0.7547890859890263,3.956229484389026,-3.2014403984,3.2014403984,0.7547890859890263
2022-01-01 01:45:00,0.006276174177842098,3.195164224222158,-3.2014403984,3.2014403984,-0.006276174177842098
2022-01-01 02:00:00,0.5375668467208565,2.6638735516791434,-3.2014403984,3.2014403984,-0.5375668467208565
2022-01-01 02:15:00,0.4155256687593418,2.712241415040658,-3.1277670838,3.1277670838,-0.4155256687593418
2022-01-01 02:30:00,0.2501965488044626,2.877570534995537,-3.1277670838,3.1277670838,-0.2501965488044626
2022-01-01 02:45:00,0.2456153013813278,2.882151782418672,-3.1277670838,3.1277670838,-0.2456153013813278
2022-01-01 03:00:00,0.2469761193277149,2.880790964472285,-3.1277670838,3.1277670838,-0.2469761193277149
2022-01-01 03:15:00,0.20608137528855908,2.9216857085114407,-3.1277670838,3.1277670838,-0.20608137528855908
2022-01-01 03:30:00,0.1479297260089525,2.9798373577910473,-3.1277670838,3.1277670838,-0.1479297260089525
2022-01-01 03:45:00,0.08843692187940233,3.0393301619205975,-3.1277670838,3.1277670838,-0.08843692187940233
2022-01-01 04:00:00,0.02609342136287296,3.101673662437127,-3.1277670838,3.1277670838,-0.02609342136287296
2022-01-01 04:15:00,-0.3699150840774412,3.497682167877441,-3.1277670838,3.1277670838,0.3699150840774412
2022-01-01 04:30:00,-0.8466604314709238,3.9744275152709236,-3.1277670838,3.1277670838,0.8466604314709238
2022-01-01 04:45:00,-1.448106642412084,4.575873726212084,-3.1277670838,3.1277670838,1.448106642412084
2022-01-01 05:00:00,-2.400056372070258,5.527823455870258,-3.1277670838,3.1277670838,2.400056372070258
2022-01-01 05:15:00,-4.074809808654164,7.2025768924541635,-3.1277670838,3.1277670838,4.074809808654164
2022-01-01 05:30:00,-7.66806241253302,10.79582949633302,-3.1277670838,3.1277670838,7.66806241253302
2022-01-01 05:45:00,-16.090846371518396,19.218613455318394,-3.1277670838,3.1277670838,16.090846371518396
2022-01-01 06:00:00,-16.891338259557585,20.019105343357584,-3.1277670838,3.1277670838,16.891338259557585
2022-01-01 06:15:00,-16.896397456091538,20.024164539891537,-3.1277670838,3.1277670838,16.896397456091538
2022-01-01 06:30:00,-16.901490853778245,20.029257937578244,-3.1277670838,3.1277670838,16.901490853778245
2022-01-01 06:45:00,-16.90662933016644,20.034396413966437,-3.1277670838,3.1277670838,16.90662933016644
2022-01-01 07:00:00,-16.911821666164215,20.039588749964214,-3.1277670838,3.1277670838,16.911821666164215
2022-01-01 07:15:00,-16.928201117666042,20.05596820146604,-3.1277670838,3.1277670838,16.928201117666042
2022-01-01 07:30:00,-16.944818205894837,20.072585289694835,-3.1277670838,3.1277670838,16.944818205894837
2022-01-01 07:45:00,-16.961782065489224,20.089549149289223,-3.1277670838,3.1277670838,16.961782065489224
2022-01-01 08:00:00,-16.979197457442186,20.106964541242185,-3.1277670838,3.1277670838,16.979197457442186
2022-01-01 08:15:00,-17.006179796802122,20.13394688060212,-3.1277670838,3.1277670838,17.006179796802122
2022-01-01 08:30:00,-17.034228900028143,20.16199598382814,-3.1277670838,3.1277670838,17.034228900028143
2022-01-01 08:45:00,-17.063727787322353,20.19149487112235,-3.1277670838,3.1277670838,17.063727787322353
2022-01-01 09:00:00,-17.09511562558945,20.22288270938945,-3.1277670838,3.1277670838,17.09511562558945
2022-01-01 09:15:00,-17.105412220332514,20.233179304132513,-3.1277670838,3.1277670838,17.105412220332514
2022-01-01 09:30:00,-17.11690443527749,20.24467151907749,-3.1277670838,3.1277670838,17.11690443527749
2022-01-01 09:45:00,-17.129574562031937,20.257341645831936,-3.1277670838,3.1277670838,17.129574562031937
2022-01-01 10:00:00,-17.1436301239937,20.271397207793697,-3.1277670838,3.1277670838,17.1436301239937
2022-01-01 10:15:00,-17.14762378948184,20.27539087328184,-3.1277670838,3.1277670838,17.14762378948184
2022-01-01 10:30:00,-17.149337889358108,20.277104973158107,-3.1277670838,3.1277670838,17.149337889358108
2022-01-01 10:45:00,-17.147385034859724,20.275152118659722,-3.1277670838,3.1277670838,17.147385034859724
2022-01-01 11:00:00,-17.151297420559704,20.279064504359702,-3.1277670838,3.1277670838,17.151297420559704
2022-01-01 11:15:00,-17.127419685446984,20.255186769246983,-3.1277670838,3.1277670838,17.127419685446984
2022-01-01 11:30:00,-17.11281483733962,20.24058192113962,-3.1277670838,3.1277670838,17.11281483733962
2022-01-01 11:45:00,-17.095486928560305,20.223254012360304,-3.1277670838,3.1277670838,17.095486928560305
2022-01-01 12:00:00,-17.087423464280466,20.215190548080464,-3.1277670838,3.1277670838,17.087423464280466
2022-01-01 12:15:00,-17.0762065338437,20.203973617643697,-3.1277670838,3.1277670838,17.0762065338437
