,hp,chp,boiler,pv,supply_config,hr_mode,T_dhw_sp,hwt_volume,costs,co2
63,Air_40kW,150000.0,400000.0,50000,2-runner,off,60,10000,3276585.0,385.7
64,Air_30kW,50000.0,0.0,50000,2-runner,off,65,10000,2992203.0,268.8
65,Air_30kW,50000.0,0.0,25000,3-runner,on,55,20000,,
66,Air_40kW,50000.0,0.0,25000,2-runner,on,55,15000,2965848.0,192.5
67,Air_30kW,50000.0,0.0,25000,2-runner,off,55,20000,2957907.0,233.9
68,Air_30kW,0.0,200000.0,25000,3-runner,off,65,20000,3297252.0,207.5
69,Air_40kW,0.0,200000.0,75000,2-runner,on,65,20000,2970148.0,186.2
70,Air_30kW,0.0,200000.0,25000,3-runner,off,55,10000,3297114.0,217.5
71,Air_30kW,50000.0,0.0,75000,2-runner,on,60,10000,3023937.0,204.6
72,Air_30kW,150000.0,200000.0,25000,3-runner,off,55,20000,3596218.0,243.2
73,Air_40kW,50000.0,0.0,25000,3-runner,on,65,20000,,
74,Air_30kW,150000.0,200000.0,75000,3-runner,off,55,10000,3661679.0,239.6
75,Air_40kW,0.0,200000.0,75000,2-runner,on,55,10000,2970121.0,185.6
76,Air_40kW,0.0,400000.0,25000,3-runner,off,55,10000,3344807.0,209.6
77,Air_40kW,50000.0,400000.0,25000,3-runner,off,65,20000,3447098.0,283.5
78,Air_40kW,150000.0,200000.0,75000,2-runner,on,55,20000,3271847.0,200.5
79,Air_30kW,100000.0,400000.0,50000,3-runner,on,55,20000,3571476.0,217.0
80,Air_40kW,100000.0,400000.0,25000,2-runner,on,60,20000,3147333.0,217.1
81,Air_40kW,100000.0,0.0,75000,3-runner,on,55,10000,3531644.0,204.9
82,Air_30kW,50000.0,0.0,75000,3-runner,off,65,10000,,
83,Air_40kW,150000.0,300000.0,25000,3-runner,off,60,10000,3624570.0,425.8
84,Air_30kW,0.0,400000.0,75000,3-runner,off,65,20000,3402945.0,213.4
85,Air_30kW,50000.0,0.0,75000,2-runner,off,65,20000,3025012.0,272.7
86,Air_30kW,150000.0,400000.0,50000,2-runner,off,65,20000,3270915.0,509.9
87,Air_30kW,150000.0,400000.0,50000,3-runner,on,65,10000,3688166.0,515.1
88,Air_60kW,150000.0,400000.0,25000,3-runner,on,65,20000,3676077.0,542.8
