Datum;Wetterdaten: Normale Direktstrahlung  [W/m²] (Bn);Wetterdaten: Diffusstrahlung, Jahressumme [W/m²] (Dh);Wetterdaten: Globalstrahlung, Jahressumme [W/m²] (Gh);Wetterdaten: Luftfeuchtigkeit [%] (Hrel);Wetterdaten: Wärmestrahlung [W/m²] (Lh);Wetterdaten: Aussentemperatur 24-h-Mittel [°C] (Tamb24);Wetterdaten: Mittlere Aussentemperatur [°C] (Tamb);Gebäude Space heating: demand 443 Mhw: Heizwärmebedarf [W] (Qdem);Gebäude Space heating: demand 443 Mhw: Soll-Raumtemperatur [°C];Elektrische Verbraucher Elec. Demand: 425 MWh: Elektrischer Verbrauch [W] (Ecs);Warmwasserbedarf 343 MWh: Domestic hot water: Energiebedarf [W] (Qdem);Wetterdaten: Windgeschwindigkeit [m/s] (Vwnd)
01.01. 00:00:00;0;0;0;87.4;346;3.8;11.5;46939;20;49358;0;2.3
01.01. 00:15:00;0;0;0;87.4;346;3.8;11.5;46939;20;51043;0;2.3
01.01. 00:30:00;0;0;0;87.4;346;3.8;11.5;46939;20;51228;0;2.3
01.01. 00:45:00;0;0;0;87.4;346;3.8;11.5;46939;20;52631;0;2.3
01.01. 01:00:00;0;0;0;83.2;345;4.1;11.7;45559;20;45575;0;1.7
01.01. 01:15:00;0;0;0;83.1;345;4.1;11.8;45559;20;46346;0;1.7
01.01. 01:30:00;0;0;0;83.1;345;4.1;11.8;45559;20;47166;0;1.7
01.01. 01:45:00;0;0;0;83.1;345;4.1;11.8;45559;20;47939;0;1.7
01.01. 02:00:00;0;0;0;82.9;343;4.5;11.5;46995;20;46765;0;1.4
01.01. 02:15:00;0;0;0;82.9;343;4.5;11.5;46995;20;47389;0;1.4
01.01. 02:30:00;0;0;0;82.9;343;4.5;11.5;46995;20;48104;0;1.4
01.01. 02:45:00;0;0;0;82.9;343;4.5;11.5;46995;20;48758;0;1.4
01.01. 03:00:00;0;0;0;77.6;338;4.8;11.4;47547;20;48710;239303;1.7
01.01. 03:15:00;0;0;0;77.6;338;4.8;11.4;47547;20;48895;32971;1.7
01.01. 03:30:00;0;0;0;77.6;338;4.8;11.4;47547;20;48921;0;1.7
01.01. 03:45:00;0;0;0;77.6;338;4.8;11.4;47547;20;48910;0;1.7
01.01. 04:00:00;0;0;0;76.9;337;5.1;11.3;48320;20;49066;239314;1.7
01.01. 04:15:00;0;0;0;76.9;337;5.1;11.3;48320;20;48949;32972;1.7
01.01. 04:30:00;0;0;0;76.9;337;5.1;11.3;48320;20;48823;0;1.7
01.01. 04:45:00;0;0;0;76.9;337;5.1;11.3;48320;20;48670;0;1.7
01.01. 05:00:00;0;0;0;78.7;338;5.4;11.1;49093;20;52507;239326;2
01.01. 05:15:00;0;0;0;78.7;338;5.4;11.1;49093;20;52323;32974;2
01.01. 05:30:00;0;0;0;78.7;338;5.4;11.1;49093;20;52206;0;2
01.01. 05:45:00;0;0;0;78.7;338;5.4;11.1;49093;20;52049;0;2
01.01. 06:00:00;0;0;0;77.7;336;5.7;11;49645;20;74663;239337;1.6
01.01. 06:15:00;0;0;0;77.7;336;5.7;11;49645;20;65379;32975;1.6
01.01. 06:30:00;0;0;0;77.7;336;5.7;11;49645;20;64428;0;1.6
01.01. 06:45:00;0;0;0;77.7;336;5.7;11;49645;20;65089;0;1.6
01.01. 07:00:00;0;0;0;76.6;335;6.1;10.9;50197;20;86423;239349;2.4
01.01. 07:15:00;0;0;0;76.6;335;6.1;10.9;50197;20;87824;32977;2.4
01.01. 07:30:00;0;0;0;76.6;335;6.1;10.9;50197;20;90621;0;2.4
01.01. 07:45:00;0;0;0;76.6;335;6.1;10.9;50197;20;93054;0;2.4
01.01. 08:00:00;0;1.2;1.2;78.3;336;6.4;10.9;50253;20;96405;23936;2
01.01. 08:15:00;0;1.2;1.2;78.3;336;6.4;10.9;50253;20;96949;32979;2
01.01. 08:30:00;0;1.2;1.2;78.3;336;6.4;10.9;50253;20;98828;0;2
01.01. 08:45:00;0;1.2;1.2;78.3;336;6.4;10.9;50253;20;99002;0;2
01.01. 09:00:00;0;9.9;9.9;78;336;6.7;11;49921;20;93478;239372;3.8
01.01. 09:15:00;0;10;10;78;336;6.7;11;49921;20;93542;3298;3.8
01.01. 09:30:00;0;10;10;78;336;6.7;11;49921;20;93054;0;3.8
01.01. 09:45:00;0;10;10;78;336;6.7;11;49921;20;92557;0;3.8
01.01. 10:00:00;0;19.5;19.5;73.1;332;7;11;49535;20;88996;239383;3.1
01.01. 10:15:00;0;19.5;19.5;73.1;332;7;11;49535;20;89286;32982;3.1
01.01. 10:30:00;0;19.5;19.5;73.1;332;7;11;49535;20;88722;0;3.1
01.01. 10:45:00;0;19.5;19.5;73.1;332;7;11;49535;20;88291;0;3.1
01.01. 11:00:00;0;27.2;27.2;82.9;340;7.3;11.1;49259;20;69107;239394;2.9
01.01. 11:15:00;0;27.3;27.3;82.9;340;7.3;11.1;49259;20;62649;32983;2.9
01.01. 11:30:00;0;27.3;27.3;82.9;340;7.3;11.1;49259;20;62649;0;2.9
01.01. 11:45:00;0;27.3;27.3;82.9;340;7.3;11.1;49259;20;62649;0;2.9
01.01. 12:00:00;0;32.2;32.2;73.5;332;7.6;11.1;48983;20;69200;239406;3.3
01.01. 12:15:00;0;32.2;32.2;73.5;332;7.6;11.1;48983;20;69200;32985;3.3
01.01. 12:30:00;0;32.2;32.2;73.5;332;7.6;11.1;48983;20;69200;0;3.3
01.01. 12:45:00;0;32.2;32.2;73.5;332;7.6;11.1;48983;20;69200;0;3.3
01.01. 13:00:00;0;28.2;28.2;72.5;332;7.8;11.1;48983;20;68552;239417;3.8
01.01. 13:15:00;0;28.2;28.2;72.5;332;7.8;11.1;48983;20;68552;32986;3.8
01.01. 13:30:00;0;28.2;28.2;72.5;332;7.8;11.1;48983;20;68552;0;3.8
01.01. 13:45:00;0;28.2;28.2;72.5;332;7.8;11.1;48983;20;68552;0;3.8
01.01. 14:00:00;0;20.3;20.3;73.6;333;8.1;11.1;49093;20;61074;239429;3.1
01.01. 14:15:00;0;20.3;20.3;73.6;333;8.1;11.1;49093;20;61074;32988;3.1
01.01. 14:30:00;0;20.3;20.3;73.6;333;8.1;11.1;49093;20;73670;0;3.1
01.01. 14:45:00;0;20.3;20.3;73.6;333;8.1;11.1;49093;20;78334;0;3.1
01.01. 15:00:00;0;10.2;10.2;82.9;340;8.3;11;49535;20;73006;23944;4.5
01.01. 15:15:00;0;10.1;10.1;82.9;340;8.3;11;49535;20;73281;32989;4.5
01.01. 15:30:00;0;10.1;10.1;82.9;340;8.3;11;49535;20;73395;0;4.5
01.01. 15:45:00;0;10.1;10.1;82.9;340;8.3;11;49535;20;73822;0;4.5
01.01. 16:00:00;0;1.2;1.2;82.9;339;8.6;10.9;50197;20;74846;239451;3.3
01.01. 16:15:00;0;1.1;1.1;82.9;339;8.6;10.9;50197;20;75472;32991;3.3
01.01. 16:30:00;0;1.1;1.1;82.9;339;8.6;10.9;50197;20;76151;0;3.3
01.01. 16:45:00;0;1.1;1.1;82.9;339;8.6;10.9;50197;20;76740;0;3.3
01.01. 17:00:00;0;0.01;0.01;83.6;338;8.9;10.7;51468;20;86785;239463;3.8
01.01. 17:15:00;0;0;0;83.6;338;8.9;10.7;51468;20;84746;32993;3.8
01.01. 17:30:00;0;0;0;83.6;338;8.9;10.7;51468;20;85411;0;3.8
01.01. 17:45:00;0;0;0;83.6;338;8.9;10.7;51468;20;86555;0;3.8
01.01. 18:00:00;0;0;0;87.1;338;9.1;10.4;53014;20;107635;239474;3.1
01.01. 18:15:00;0;0;0;87.1;338;9.1;10.4;53014;20;108291;32994;3.1
01.01. 18:30:00;0;0;0;87.1;338;9.1;10.4;53014;20;110873;0;3.1
01.01. 18:45:00;0;0;0;87.1;338;9.1;10.4;53014;20;113247;0;3.1
01.01. 19:00:00;0;0;0;83.6;336;9.4;10.4;52903;20;124895;239485;3.1
01.01. 19:15:00;0;0;0;83.6;336;9.4;10.4;52903;20;124573;32996;3.1
01.01. 19:30:00;0;0;0;83.6;336;9.4;10.4;52903;20;126791;0;3.1
01.01. 19:45:00;0;0;0;83.6;336;9.4;10.4;52903;20;127339;0;3.1
01.01. 20:00:00;0;0;0;83.8;334;9.7;10.2;54284;20;117267;239497;3.1
01.01. 20:15:00;0;0;0;83.8;334;9.7;10.2;54284;20;117253;32997;3.1
01.01. 20:30:00;0;0;0;83.8;334;9.7;10.2;54284;20;116831;0;3.1
01.01. 20:45:00;0;0;0;83.8;334;9.7;10.2;54284;20;116382;0;3.1
01.01. 21:00:00;0;0;0;83;332;10;10.1;54726;20;101868;239508;2.3
01.01. 21:15:00;0;0;0;83;332;10;10.1;54726;20;101885;32999;2.3
01.01. 21:30:00;0;0;0;83;332;10;10.1;54726;20;101410;0;2.3
01.01. 21:45:00;0;0;0;83;332;10;10.1;54726;20;98041;0;2.3
01.01. 22:00:00;0;0;0;83;331;10.3;10;55333;20;78692;239519;1.7
01.01. 22:15:00;0;0;0;83;331;10.3;10;55333;20;78746;33;1.7
01.01. 22:30:00;0;0;0;83;331;10.3;10;55333;20;78856;0;1.7
01.01. 22:45:00;0;0;0;83;331;10.3;10;55333;20;79006;0;1.7
01.01. 23:00:00;0;0;0;86.6;333;10.6;9.9;55941;20;63075;0;1.5
01.01. 23:15:00;0;0;0;86.7;333;10.6;9.9;55941;20;63139;0;1.5
01.01. 23:30:00;0;0;0;86.7;333;10.6;9.9;55941;20;63343;0;1.5
01.01. 23:45:00;0;0;0;86.7;333;10.6;9.9;55941;20;63730;0;1.5
02.01. 00:00:00;0;0;0;86.7;330;10.9;9.5;58094;20;53919;0;1.7
02.01. 00:15:00;0;0;0;86.7;330;10.9;9.5;58094;20;54179;0;1.7
02.01. 00:30:00;0;0;0;86.7;330;10.9;9.5;58094;20;54708;0;1.7
02.01. 00:45:00;0;0;0;86.7;330;10.9;9.5;58094;20;55186;0;1.7
02.01. 01:00:00;0;0;0;83.1;324;10.8;8.9;61132;20;47992;0;3.1
02.01. 01:15:00;0;0;0;83;324;10.8;8.9;61132;20;48160;0;3.1
02.01. 01:30:00;0;0;0;83;324;10.8;8.9;61132;20;48629;0;3.1
02.01. 01:45:00;0;0;0;83;324;10.8;8.9;61132;20;48997;0;3.1
02.01. 02:00:00;0;0;0;86.7;325;10.7;8.7;62567;20;43616;0;4.2
02.01. 02:15:00;0;0;0;86.8;325;10.7;8.7;62567;20;43769;0;4.2
02.01. 02:30:00;0;0;0;86.8;325;10.7;8.7;62567;20;44144;0;4.2
02.01. 02:45:00;0;0;0;86.8;325;10.7;8.7;62567;20;44494;0;4.2
02.01. 03:00:00;0;0;0;86.8;323;10.6;8.5;63782;20;43584;239576;3.8
02.01. 03:15:00;0;0;0;86.8;323;10.6;8.4;63782;20;43936;33008;3.8
02.01. 03:30:00;0;0;0;86.8;323;10.6;8.4;63782;20;44056;0;3.8
02.01. 03:45:00;0;0;0;86.8;323;10.6;8.4;63782;20;44290;0;3.8
02.01. 04:00:00;0;0;0;87;322;10.4;8.2;64942;20;44200;239587;4.5
02.01. 04:15:00;0;0;0;87;322;10.4;8.2;64942;20;44299;3301;4.5
02.01. 04:30:00;0;0;0;87;322;10.4;8.2;64942;20;44532;0;4.5
02.01. 04:45:00;0;0;0;87;322;10.4;8.2;64942;20;44778;0;4.5
02.01. 05:00:00;0;0;0;87.9;321;10.3;8;66157;20;46069;239599;3.8
02.01. 05:15:00;0;0;0;87.9;321;10.3;8;66157;20;46245;33011;3.8
02.01. 05:30:00;0;0;0;87.9;321;10.3;8;66157;20;46506;0;3.8
02.01. 05:45:00;0;0;0;87.9;321;10.3;8;66157;20;46753;0;3.8
02.01. 06:00:00;0;0;0;87.9;319;10.2;7.9;66985;20;54319;23961;4.2
02.01. 06:15:00;0;0;0;87.9;319;10.2;7.9;66985;20;54536;33013;4.2
02.01. 06:30:00;0;0;0;87.9;319;10.2;7.9;66985;20;54745;0;4.2
02.01. 06:45:00;0;0;0;87.9;319;10.2;7.9;66985;20;54965;0;4.2
02.01. 07:00:00;0;0;0;86.8;317;10.1;7.7;67813;20;70823;239621;2.5
02.01. 07:15:00;0;0;0;86.8;317;10.1;7.7;67813;20;71054;33014;2.5
02.01. 07:30:00;0;0;0;86.8;317;10.1;7.7;67813;20;71066;0;2.5
02.01. 07:45:00;0;0;0;86.8;317;10.1;7.7;67813;20;71184;0;2.5
02.01. 08:00:00;0;1.4;1.4;86.8;317;9.9;7.7;67703;20;91327;239633;2.9
02.01. 08:15:00;0;1.4;1.4;86.8;317;9.9;7.7;67703;20;91330;33016;2.9
02.01. 08:30:00;0;1.4;1.4;86.8;317;9.9;7.7;67703;20;91330;0;2.9
02.01. 08:45:00;0;1.4;1.4;86.8;317;9.9;7.7;67703;20;91316;0;2.9
02.01. 09:00:00;0;34.1;34.1;86.8;319;9.8;8.2;64997;20;102972;239644;2.7
02.01. 09:15:00;0;34.3;34.3;86.8;319;9.8;8.2;64997;20;102954;33018;2.7
02.01. 09:30:00;0;34.3;34.3;86.8;319;9.8;8.2;64997;20;102869;0;2.7
02.01. 09:45:00;0;34.3;34.3;86.8;319;9.8;8.2;64997;20;102814;0;2.7
02.01. 10:00:00;0;66;66;83.1;318;9.7;8.7;62402;20;104319;239655;2.9
02.01. 10:15:00;0;66.1;66.1;83;318;9.7;8.7;62402;20;94512;33019;2.9
02.01. 10:30:00;0;66.1;66.1;83;318;9.7;8.7;62402;20;95182;0;2.9
02.01. 10:45:00;0;66.1;66.1;83;318;9.7;8.7;62402;20;96151;0;2.9
02.01. 11:00:00;0;95.7;95.7;83;319;9.6;9.1;59917;20;101117;239666;2.3
02.01. 11:15:00;0;95.8;95.8;83;319;9.6;9.1;59917;20;101800;33021;2.3
02.01. 11:30:00;0;95.8;95.8;83;319;9.6;9.1;59917;20;104239;0;2.3
02.01. 11:45:00;0;95.8;95.8;83;319;9.6;9.1;59917;20;106503;0;2.3
02.01. 12:00:00;0;90.7;90.7;74.7;315;9.5;9.4;58591;20;113350;239678;3.3
02.01. 12:15:00;0;90.7;90.7;74.6;315;9.5;9.4;58591;20;113073;33022;3.3
02.01. 12:30:00;0;90.7;90.7;74.6;315;9.5;9.4;58591;20;115527;0;3.3
02.01. 12:45:00;0;90.7;90.7;74.6;315;9.5;9.4;58591;20;116461;0;3.3
02.01. 13:00:00;0;65.8;65.8;74.1;318;9.4;9.4;58536;20;116020;239689;3.5
02.01. 13:15:00;0;65.7;65.7;74.1;318;9.4;9.4;58536;20;115846;33024;3.5
02.01. 13:30:00;0;65.7;65.7;74.1;318;9.4;9.4;58536;20;115930;0;3.5
02.01. 13:45:00;0;65.7;65.7;74.1;318;9.4;9.4;58536;20;115502;0;3.5
02.01. 14:00:00;0;45.2;45.2;77.5;321;9.4;9.3;59199;20;109071;2397;2.5
02.01. 14:15:00;0;45;45;77.6;321;9.4;9.3;59199;20;109374;33025;2.5
02.01. 14:30:00;0;45;45;77.6;321;9.4;9.3;59199;20;108850;0;2.5
02.01. 14:45:00;0;45;45;77.6;321;9.4;9.3;59199;20;108307;0;2.5
02.01. 15:00:00;0;22.6;22.6;79.5;322;9.3;9;60579;20;103319;239711;3.3
02.01. 15:15:00;0;22.5;22.5;79.5;322;9.3;9;60579;20;103767;33027;3.3
02.01. 15:30:00;0;22.5;22.5;79.5;322;9.3;9;60579;20;103171;0;3.3
02.01. 15:45:00;0;22.5;22.5;79.5;322;9.3;9;60579;20;102677;0;3.3
02.01. 16:00:00;0;1.4;1.4;81.1;320;9.2;8.7;62402;20;103095;239723;2.7
02.01. 16:15:00;0;1.4;1.4;81.1;320;9.2;8.7;62402;20;101363;33028;2.7
02.01. 16:30:00;0;1.4;1.4;81.1;320;9.2;8.7;62402;20;93455;0;2.7
02.01. 16:45:00;0;1.4;1.4;81.1;320;9.2;8.7;62402;20;93512;0;2.7
02.01. 17:00:00;0;0.01;0.01;85.7;320;9.1;8.4;64279;20;112514;239734;3.1
02.01. 17:15:00;0;0;0;85.8;320;9.1;8.4;64279;20;112623;3303;3.1
02.01. 17:30:00;0;0;0;85.8;320;9.1;8.4;64279;20;112737;0;3.1
02.01. 17:45:00;0;0;0;85.8;320;9.1;8.4;64279;20;112796;0;3.1
02.01. 18:00:00;0;0;0;81.4;313;9;8;66212;20;128212;239745;2
02.01. 18:15:00;0;0;0;81.3;313;9;8;66212;20;128327;33032;2
02.01. 18:30:00;0;0;0;81.3;313;9;8;66212;20;128422;0;2
02.01. 18:45:00;0;0;0;81.3;313;9;8;66212;20;128502;0;2
02.01. 19:00:00;0;0;0;83.8;311;8.9;7.7;68145;20;129078;239756;1.6
02.01. 19:15:00;0;0;0;83.8;311;8.9;7.7;68145;20;129201;33033;1.6
02.01. 19:30:00;0;0;0;83.8;311;8.9;7.7;68145;20;129260;0;1.6
02.01. 19:45:00;0;0;0;83.8;311;8.9;7.7;68145;20;129325;0;1.6
02.01. 20:00:00;0;0;0;90.5;313;8.8;7.3;70022;20;109298;239768;1.2
02.01. 20:15:00;0;0;0;90.5;313;8.8;7.3;70022;20;109408;33035;1.2
02.01. 20:30:00;0;0;0;90.5;313;8.8;7.3;70022;20;109408;0;1.2
02.01. 20:45:00;0;0;0;90.5;313;8.8;7.3;70022;20;109449;0;1.2
02.01. 21:00:00;0;0;0;94.9;312;8.7;7;71955;20;89586;239779;0.9
02.01. 21:15:00;0;0;0;94.9;312;8.7;7;71955;20;89710;33036;0.9
02.01. 21:30:00;0;0;0;94.9;312;8.7;7;71955;20;89618;0;0.9
02.01. 21:45:00;0;0;0;94.9;312;8.7;7;71955;20;89612;0;0.9
02.01. 22:00:00;0;0;0;93.2;307;8.5;6.6;73888;20;83665;23979;0.7
02.01. 22:15:00;0;0;0;93.2;307;8.5;6.6;73888;20;83865;33038;0.7
02.01. 22:30:00;0;0;0;93.2;307;8.5;6.6;73888;20;83627;0;0.7
02.01. 22:45:00;0;0;0;93.2;307;8.5;6.6;73888;20;83567;0;0.7
02.01. 23:00:00;0;0;0;96.9;306;8.4;6.3;75876;20;73850;0;0.4
02.01. 23:15:00;0;0;0;97;306;8.4;6.3;75876;20;73658;0;0.4
02.01. 23:30:00;0;0;0;97;306;8.4;6.3;75876;20;73682;0;0.4
02.01. 23:45:00;0;0;0;97;306;8.4;6.3;75876;20;73681;0;0.4
03.01. 00:00:00;0;0;0;99.9;305;8.3;6;77533;20;60080;0;0.3
03.01. 00:15:00;0;0;0;100;305;8.3;6;77533;20;59901;0;0.3
03.01. 00:30:00;0;0;0;100;305;8.3;6;77533;20;59882;0;0.3
03.01. 00:45:00;0;0;0;100;305;8.3;6;77533;20;59859;0;0.3
03.01. 01:00:00;0;0;0;100;302;8.1;5.7;78748;20;48214;0;0.3
03.01. 01:15:00;0;0;0;100;302;8.1;5.7;78748;20;48034;0;0.3
03.01. 01:30:00;0;0;0;100;302;8.1;5.7;78748;20;47986;0;0.3
03.01. 01:45:00;0;0;0;100;302;8.1;5.7;78748;20;47943;0;0.3
03.01. 02:00:00;0;0;0;99.8;299;8;5.5;79962;20;41948;0;0.5
03.01. 02:15:00;0;0;0;99.8;299;8;5.5;79962;20;41763;0;0.5
03.01. 02:30:00;0;0;0;99.8;299;8;5.5;79962;20;41699;0;0.5
03.01. 02:45:00;0;0;0;99.8;299;8;5.5;79962;20;41637;0;0.5
03.01. 03:00:00;0;0;0;100;297;7.8;5.5;80349;20;39552;239846;0.3
03.01. 03:15:00;0;0;0;100;297;7.8;5.4;80349;20;39516;33045;0.3
03.01. 03:30:00;0;0;0;100;297;7.8;5.4;80349;20;39379;0;0.3
03.01. 03:45:00;0;0;0;100;297;7.8;5.4;80349;20;39251;0;0.3
03.01. 04:00:00;0;0;0;100;295;7.7;5.4;80736;20;37969;239857;0.5
03.01. 04:15:00;0;0;0;100;295;7.7;5.4;80736;20;37840;33047;0.5
03.01. 04:30:00;0;0;0;100;295;7.7;5.4;80736;20;37824;0;0.5
03.01. 04:45:00;0;0;0;100;295;7.7;5.4;80736;20;37667;0;0.5
03.01. 05:00:00;0;0;0;98.4;293;7.6;5.3;81122;20;36160;239868;0.3
03.01. 05:15:00;0;0;0;98.4;293;7.6;5.3;81122;20;35806;33049;0.3
03.01. 05:30:00;0;0;0;98.4;293;7.6;5.3;81122;20;36582;0;0.3
03.01. 05:45:00;0;0;0;98.4;293;7.6;5.3;81122;20;37601;0;0.3
03.01. 06:00:00;0;0;0;100;292;7.5;5.3;81233;20;39615;23988;0.5
03.01. 06:15:00;0;0;0;100;292;7.5;5.3;81233;20;40256;3305;0.5
03.01. 06:30:00;0;0;0;100;292;7.5;5.3;81233;20;42114;0;0.5
03.01. 06:45:00;0;0;0;100;292;7.5;5.3;81233;20;43986;0;0.5
03.01. 07:00:00;0;0;0;100;291;7.4;5.3;81343;20;49905;239891;0.6
03.01. 07:15:00;0;0;0;100;291;7.4;5.3;81343;20;50471;33052;0.6
03.01. 07:30:00;0;0;0;100;291;7.4;5.3;81343;20;52518;0;0.6
03.01. 07:45:00;0;0;0;100;291;7.4;5.3;81343;20;53503;0;0.6
03.01. 08:00:00;0;3.1;3.1;100;290;7.3;5.5;80183;20;73997;239902;0.7
03.01. 08:15:00;0;3.1;3.1;100;290;7.3;5.5;80183;20;73933;33053;0.7
03.01. 08:30:00;0;3.1;3.1;100;290;7.3;5.5;80183;20;73474;0;0.7
03.01. 08:45:00;0;3.1;3.1;100;290;7.3;5.5;80183;20;73047;0;0.7
03.01. 09:00:00;622;31.8;110;93.7;298;7.2;7.8;67151;20;100289;239913;0.8
03.01. 09:15:00;622;32;110;93.6;298;7.2;7.8;67151;20;100292;33055;0.8
03.01. 09:30:00;622;32;110;93.6;298;7.2;7.8;67151;20;99844;0;0.8
03.01. 09:45:00;622;32;110;93.6;298;7.2;7.8;67151;20;99477;0;0.8
03.01. 10:00:00;740;47.5;215;79.2;296;7.2;10.1;54339;20;106281;239924;1.4
03.01. 10:15:00;740;47.5;216;79.1;296;7.2;10.2;54339;20;92487;33056;1.4
03.01. 10:30:00;740;47.5;216;79.1;296;7.2;10.2;54339;20;100386;0;1.4
03.01. 10:45:00;740;47.5;216;79.1;296;7.2;10.2;54339;20;109497;0;1.4
03.01. 11:00:00;804;51;283;71.6;299;7.2;12.1;43792;20;125476;239935;1.5
03.01. 11:15:00;804;51;284;71.6;299;7.2;12.1;43792;20;125853;33058;1.5
03.01. 11:30:00;804;51;284;71.6;299;7.2;12.1;43792;20;126156;0;1.5
03.01. 11:45:00;804;51;284;71.6;299;7.2;12.1;43792;20;126796;0;1.5
03.01. 12:00:00;776;46.8;287;67.5;304;7.4;13.3;37054;20;130973;239946;1.9
03.01. 12:15:00;776;46.8;287;67.5;304;7.4;13.3;37054;20;131770;33059;1.9
03.01. 12:30:00;776;46.8;287;67.5;304;7.4;13.3;37054;20;132859;0;1.9
03.01. 12:45:00;776;46.8;287;67.5;304;7.4;13.3;37054;20;133836;0;1.9
03.01. 13:00:00;742;47.1;262;70.5;305;7.5;12.9;39042;20;116759;239958;1.6
03.01. 13:15:00;742;47.1;262;70.5;305;7.5;12.9;39042;20;117699;33061;1.6
03.01. 13:30:00;742;47.1;262;70.5;305;7.5;12.9;39042;20;118323;0;1.6
03.01. 13:45:00;742;47.1;262;70.5;305;7.5;12.9;39042;20;119138;0;1.6
03.01. 14:00:00;689;42.9;200;69.4;306;7.7;12.9;39042;20;100406;239969;1.2
03.01. 14:15:00;689;42.9;199;69.4;306;7.7;12.9;39042;20;100885;33062;1.2
03.01. 14:30:00;689;42.9;199;69.4;306;7.7;12.9;39042;20;101076;0;1.2
03.01. 14:45:00;689;42.9;199;69.4;306;7.7;12.9;39042;20;101135;0;1.2
03.01. 15:00:00;551;34.9;104;64.5;307;7.8;13.3;36889;20;90763;23998;1.4
03.01. 15:15:00;551;34.9;104;64.5;307;7.8;13.3;36889;20;90638;33064;1.4
03.01. 15:30:00;551;34.9;104;64.5;307;7.8;13.3;36889;20;90441;0;1.4
03.01. 15:45:00;551;34.9;104;64.5;307;7.8;13.3;36889;20;90252;0;1.4
03.01. 16:00:00;0;3.2;3.5;69.1;305;8;12;44399;20;84463;239991;2.5
03.01. 16:15:00;0;3;3;69.1;305;8;12;44399;20;84198;33065;2.5
03.01. 16:30:00;0;3;3;69.1;305;8;12;44399;20;84073;0;2.5
03.01. 16:45:00;0;3;3;69.1;305;8;12;44399;20;83890;0;2.5
03.01. 17:00:00;0;0.02;0.02;72.5;305;8.1;11.4;47657;20;93619;240002;4
03.01. 17:15:00;0;0;0;72.5;305;8.1;11.4;47657;20;93421;33334;4
03.01. 17:30:00;0;0;0;72.5;305;8.1;11.4;47657;20;93310;0;4
03.01. 17:45:00;0;0;0;72.5;305;8.1;11.4;47657;20;93196;0;4
03.01. 18:00:00;0;0;0;77.1;306;8.3;10.8;50971;20;109131;240013;4
03.01. 18:15:00;0;0;0;77.1;306;8.3;10.8;50971;20;109033;33068;4
03.01. 18:30:00;0;0;0;77.1;306;8.3;10.8;50971;20;108873;0;4
03.01. 18:45:00;0;0;0;77.1;306;8.3;10.8;50971;20;108800;0;4
03.01. 19:00:00;0;0;0;77.4;303;8.4;10.2;54284;20;116880;240024;2.9
03.01. 19:15:00;0;0;0;77.4;303;8.4;10.2;54284;20;110216;3307;2.9
03.01. 19:30:00;0;0;0;77.4;303;8.4;10.2;54284;20;110840;0;2.9
03.01. 19:45:00;0;0;0;77.4;303;8.4;10.2;54284;20;112175;0;2.9
03.01. 20:00:00;0;0;0;81.2;303;8.5;9.6;57597;20;104846;240035;2.9
03.01. 20:15:00;0;0;0;81.3;303;8.5;9.6;57597;20;105522;33072;2.9
03.01. 20:30:00;0;0;0;81.3;303;8.5;9.6;57597;20;107926;0;2.9
03.01. 20:45:00;0;0;0;81.3;303;8.5;9.6;57597;20;110269;0;2.9
03.01. 21:00:00;0;0;0;84.7;303;8.6;9;60855;20;97581;240046;3.5
03.01. 21:15:00;0;0;0;84.7;303;8.6;9;60855;20;97153;33073;3.5
03.01. 21:30:00;0;0;0;84.7;303;8.6;9;60855;20;99511;0;3.5
03.01. 21:45:00;0;0;0;84.7;303;8.6;9;60855;20;99962;0;3.5
03.01. 22:00:00;0;0;0;87.4;302;8.7;8.4;64169;20;88795;240057;3.1
03.01. 22:15:00;0;0;0;87.4;302;8.7;8.4;64169;20;88808;33075;3.1
03.01. 22:30:00;0;0;0;87.4;302;8.7;8.4;64169;20;88608;0;3.1
03.01. 22:45:00;0;0;0;87.4;302;8.7;8.4;64169;20;88134;0;3.1
03.01. 23:00:00;0;0;0;89.6;301;8.7;7.8;67482;20;71546;0;3.3
03.01. 23:15:00;0;0;0;89.7;301;8.7;7.8;67482;20;71205;0;3.3
03.01. 23:30:00;0;0;0;89.7;301;8.7;7.8;67482;20;70910;0;3.3
03.01. 23:45:00;0;0;0;89.7;301;8.7;7.8;67482;20;70655;0;3.3
04.01. 00:00:00;0;0;0;87.3;295;8.8;6.9;72452;20;43424;0;3.1
04.01. 00:15:00;0;0;0;87.3;295;8.8;6.9;72452;20;31002;0;3.1
04.01. 00:30:00;0;0;0;87.3;295;8.8;6.9;72452;20;31002;0;3.1
04.01. 00:45:00;0;0;0;87.3;295;8.8;6.9;72452;20;31002;0;3.1
04.01. 01:00:00;0;0;0;90.1;292;8.8;5.9;78140;20;22934;0;3.1
04.01. 01:15:00;0;0;0;90.2;292;8.8;5.8;78140;20;22934;0;3.1
04.01. 01:30:00;0;0;0;90.2;292;8.8;5.8;78140;20;22934;0;3.1
04.01. 01:45:00;0;0;0;90.2;292;8.8;5.8;78140;20;22934;0;3.1
04.01. 02:00:00;0;0;0;90.6;287;8.8;4.8;83883;20;28566;0;3.8
04.01. 02:15:00;0;0;0;90.6;287;8.8;4.8;83883;20;37179;0;3.8
