Time,AirTemperature,WindSpeed,GlobalRadiation,DirectNormalRad,DiffRadiation
17.03. 02:00,4,1.7,0,0,268
17.03. 03:00,3,1.4,0,0,269
17.03. 04:00,2,1,0,0,262
17.03. 05:00,2,1,0,0,262
17.03. 06:00,1,1.5,41,129,259
17.03. 07:00,1,0,153,358,261
17.03. 08:00,2,1,299,517,257
17.03. 09:00,6,2.6,440,642,262
17.03. 10:00,8,2.1,549,728,270
17.03. 11:00,11,2.1,608,754,272
17.03. 12:00,13,3.6,614,758,277
17.03. 13:00,15,4.1,570,761,284
17.03. 14:00,16,4.6,475,719,286
17.03. 15:00,17,4.1,342,638,290
17.03. 16:00,17,4.1,194,507,290
17.03. 17:00,17,4.1,63,205,291
17.03. 18:00,16,3.1,5,0,291
17.03. 19:00,14,2.1,0,0,286
17.03. 20:00,12,3.6,0,0,284
17.03. 21:00,12,2.6,0,0,283
17.03. 22:00,11,2.1,0,0,281
17.03. 23:00,7,0,0,0,283
18.03. 00:00,6.5,0.5,0,0,278
18.03. 01:00,6,1,0,0,277
18.03. 02:00,5,1,0,0,277
18.03. 03:00,4,1,0,0,274
18.03. 04:00,3,1,0,0,273
18.03. 05:00,3,0.5,0,0,271
18.03. 06:00,3,0.5,43,161,268
18.03. 07:00,2,0.5,162,438,267
18.03. 08:00,6,0,317,622,268
18.03. 09:00,8,0,455,720,272
18.03. 10:00,10,1,558,767,278
18.03. 11:00,12,1,615,793,283
18.03. 12:00,14,1,616,775,287
18.03. 13:00,16,1.5,570,760,292
18.03. 14:00,17,2.6,483,747,298
18.03. 15:00,18,2.6,350,658,295
18.03. 16:00,18,2.1,194,471,295
18.03. 17:00,17,2.1,62,172,295
18.03. 18:00,16,2.6,6,0,299
18.03. 19:00,13,1,0,0,289
18.03. 20:00,11,0.5,0,0,282
18.03. 21:00,9,2.1,0,0,280
18.03. 22:00,8,1.5,0,0,279
18.03. 23:00,7,2.1,0,0,278
19.03. 00:00,6.4,1.9,0,0,277
19.03. 01:00,5.8,1.7,0,0,276
19.03. 02:00,5.2,1.4,0,0,273
19.03. 03:00,4.6,1.2,0,0,271
19.03. 04:00,4,1,0,0,273
19.03. 05:00,3,1,0,0,268
19.03. 06:00,6,2.6,46,152,267
19.03. 07:00,7,3.6,152,375,269
19.03. 08:00,8,4.6,284,482,275
19.03. 09:00,9,5.7,395,524,287
19.03. 10:00,10,5.7,497,607,294
19.03. 11:00,11,4.6,562,671,294
19.03. 12:00,12,4.6,570,674,290
19.03. 13:00,13,4.1,555,712,300
19.03. 14:00,15,3.6,480,708,293
19.03. 15:00,15,4.1,350,640,286
19.03. 16:00,16,4.1,190,435,287
19.03. 17:00,15,4.1,57,135,287
19.03. 18:00,14,3.1,6,0,291
19.03. 19:00,12,3.1,0,0,294
19.03. 20:00,10,4.1,0,0,273
19.03. 21:00,8,3.6,0,0,270
19.03. 22:00,8,3.6,0,0,266
19.03. 23:00,8,3.1,0,0,262
20.03. 00:00,7.2,3.2,0,0,259
20.03. 01:00,6.4,3.3,0,0,256
20.03. 02:00,5.6,3.4,0,0,253
20.03. 03:00,4.8,3.5,0,0,251
20.03. 04:00,4,3.6,0,0,249
20.03. 05:00,4,4.1,0,0,247
20.03. 06:00,3,3.1,56,212,245
20.03. 07:00,2,3.1,187,528,244
20.03. 08:00,5,3.6,347,690,246
20.03. 09:00,7,4.1,490,781,249
20.03. 10:00,8,4.6,596,830,254
20.03. 11:00,9,5.1,655,852,260
20.03. 12:00,11,4.6,660,854,265
20.03. 13:00,13,5.7,610,834,269
20.03. 14:00,15,5.1,512,790,272
20.03. 15:00,15,4.6,374,708,274
20.03. 16:00,15,4.6,216,561,274
20.03. 17:00,15,4.1,75,234,274
20.03. 18:00,13,2.6,8,0,272
20.03. 19:00,11,3.1,0,0,268
20.03. 20:00,9,1.5,0,0,264
20.03. 21:00,9,2.6,0,0,262
20.03. 22:00,7,1.5,0,0,259
20.03. 23:00,5,2.1,0,0,256
21.03. 00:00,4,0,0,0,254
21.03. 01:00,2,0.5,0,0,252
21.03. 02:00,1,1,0,0,251
21.03. 03:00,1,1.5,0,0,250
21.03. 04:00,1,2.1,0,0,251
21.03. 05:00,2,1.5,0,0,253
21.03. 06:00,0,1.5,54,169,256
21.03. 07:00,0,2.6,183,470,256
21.03. 08:00,5,3.6,329,586,255
21.03. 09:00,8,3.6,444,561,257
21.03. 10:00,10,3.6,501,462,269
21.03. 11:00,11,3.6,512,350,276
21.03. 12:00,11,3.1,450,308,286
21.03. 13:00,12,2.1,453,492,304
21.03. 14:00,12,2.6,460,641,304
21.03. 15:00,11,3.1,270,354,283
21.03. 16:00,9,5.1,118,177,298
21.03. 17:00,8,4.1,52,115,313
21.03. 18:00,8,2.6,7,0,298
21.03. 19:00,6,1,0,0,293
21.03. 20:00,6,0,0,0,284
21.03. 21:00,5,0,0,0,279
21.03. 22:00,6,0,0,0,285
21.03. 23:00,6,2.1,0,0,303
22.03. 00:00,6,2.6,0,0,311
22.03. 01:00,5.8,3.1,0,0,268
22.03. 02:00,5.5,3.6,0,0,294
22.03. 03:00,5.2,4.1,0,0,306
22.03. 04:00,5,4.6,0,0,300
22.03. 05:00,4,4.6,0,0,276
22.03. 06:00,4,3.6,56,189,262
22.03. 07:00,4,4.6,178,454,243
22.03. 08:00,5,5.7,297,465,246
22.03. 09:00,6,6.7,361,394,253
22.03. 10:00,7,7.7,341,238,288
22.03. 11:00,7,8.8,334,166,299
22.03. 12:00,8,8.2,343,181,309
22.03. 13:00,8,8.8,295,94,311
22.03. 14:00,10,8.8,251,76,326
22.03. 15:00,10,7.2,197,79,328
22.03. 16:00,10,7.7,104,44,322
22.03. 17:00,10,7.2,29,5,323
22.03. 18:00,9,4.6,5,0,331
22.03. 19:00,9,4.6,0,0,318
22.03. 20:00,9,3.1,0,0,310
22.03. 21:00,8,3.1,0,0,310
22.03. 22:00,6,5.7,0,0,285
22.03. 23:00,6,3.6,0,0,279
23.03. 00:00,5.7,3.4,0,0,267
23.03. 01:00,5.3,3.3,0,0,261
23.03. 02:00,5,3.1,0,0,253
23.03. 03:00,4.7,2.9,0,0,250
23.03. 04:00,4.3,2.8,0,0,248
23.03. 05:00,4,2.6,0,0,247
23.03. 06:00,4,3.6,61,197,248
23.03. 07:00,4,2.6,189,484,248
23.03. 08:00,4,3.6,342,618,253
23.03. 09:00,4,3.6,475,684,255
23.03. 10:00,5,3.6,540,597,263
23.03. 11:00,6,3.1,531,410,276
23.03. 12:00,8,3.1,521,413,317
23.03. 13:00,9,2.1,498,472,310
23.03. 14:00,10,3.6,376,301,304
23.03. 15:00,11,2.6,244,158,325
23.03. 16:00,11,3.1,151,169,334
23.03. 17:00,10,3.1,56,87,315
23.03. 18:00,9,3.1,6,0,306
23.03. 19:00,8,3.1,0,0,318
23.03. 20:00,6,2.6,0,0,262
23.03. 21:00,6,1.5,0,0,263
23.03. 22:00,4,1,0,0,257
23.03. 23:00,3,1,0,0,255
24.03. 00:00,2.4,0.9,0,0,254
24.03. 01:00,1.8,0.8,0,0,254
24.03. 02:00,1.2,0.7,0,0,254
24.03. 03:00,0.6,0.6,0,0,253
24.03. 04:00,0,0.5,0,0,253
24.03. 05:00,-1,0.5,0,0,253
24.03. 06:00,0,0,64,200,253
24.03. 07:00,0,0.5,197,498,254
24.03. 08:00,2,0,343,616,261
24.03. 09:00,5,1.5,460,635,261
24.03. 10:00,7,0.5,526,587,272
24.03. 11:00,11,0.5,580,576,292
24.03. 12:00,12,1.5,558,531,297
24.03. 13:00,13,1.5,465,477,294
24.03. 14:00,15,2.1,406,520,309
24.03. 15:00,16,1.5,318,506,308
24.03. 16:00,16,1.5,191,428,294
24.03. 17:00,15,1,70,191,299
24.03. 18:00,14,2.1,8,0,300
24.03. 19:00,12,2.1,0,0,288
24.03. 20:00,9,2.1,0,0,301
24.03. 21:00,9,1.5,0,0,278
24.03. 22:00,8,1,0,0,272
24.03. 23:00,7.2,0.8,0,0,269
25.03. 00:00,6.3,0.7,0,0,267
25.03. 01:00,5.5,0.5,0,0,266
25.03. 02:00,4.7,0.3,0,0,265
25.03. 03:00,3.8,0.2,0,0,264
25.03. 04:00,3,0,0,0,264
25.03. 05:00,3,0,0,0,272
25.03. 06:00,2,1.5,70,221,271
25.03. 07:00,3,2.1,205,510,261
25.03. 08:00,7,0,355,614,264
25.03. 09:00,9,1,493,696,270
25.03. 10:00,12,1.5,574,669,277
25.03. 11:00,12,2.6,509,436,282
25.03. 12:00,12,3.6,369,208,298
25.03. 13:00,12,3.1,267,96,340
25.03. 14:00,12,4.1,202,39,341
25.03. 15:00,11,4.1,143,18,349
25.03. 16:00,10,4.1,71,7,348
25.03. 17:00,9,4.1,21,2,349
25.03. 18:00,8,3.6,4,0,342
25.03. 19:00,8,4.6,0,0,334
25.03. 20:00,7,4.6,0,0,319
25.03. 21:00,7,4.1,0,0,328
25.03. 22:00,7,4.6,0,0,321
25.03. 23:00,6,3.6,0,0,320
26.03. 00:00,6,3.4,0,0,326
26.03. 01:00,6,3.2,0,0,327
26.03. 02:00,6,3,0,0,319
26.03. 03:00,6,2.8,0,0,323
26.03. 04:00,6,2.6,0,0,327
26.03. 05:00,5,2.6,0,0,326
26.03. 06:00,5,2.6,14,2,323
26.03. 07:00,6,3.1,43,10,323
26.03. 08:00,6,3.1,89,24,330
26.03. 09:00,6,3.1,129,34,328
26.03. 10:00,7,3.6,158,26,318
26.03. 11:00,7,4.1,221,31,328
26.03. 12:00,8,4.6,259,40,331
26.03. 13:00,8,3.6,259,58,326
26.03. 14:00,9,3.1,290,174,331
26.03. 15:00,9,5.1,253,196,322
26.03. 16:00,9,5.7,134,76,293
26.03. 17:00,9,6.2,42,13,304
26.03. 18:00,9,5.7,5,0,317
26.03. 19:00,8,5.7,0,0,305
26.03. 20:00,6,4.1,0,0,318
26.03. 21:00,6,4.1,0,0,320
26.03. 22:00,6,4.6,0,0,319
26.03. 23:00,6,5.1,0,0,322
27.03. 00:00,6,4.3,0,0,322
27.03. 01:00,6,3.4,0,0,326
27.03. 02:00,6,2.6,0,0,324
27.03. 03:00,6,4.1,0,0,329
27.03. 04:00,6,5.1,0,0,331
27.03. 05:00,6,3.1,0,0,332
27.03. 06:00,6,4.1,43,97,325
27.03. 07:00,5,3.1,174,340,326
27.03. 08:00,7,3.6,353,591,295
27.03. 09:00,8,4.6,485,686,267
27.03. 10:00,9,5.1,562,676,258
27.03. 11:00,10,5.1,605,644,270
27.03. 12:00,10,4.6,536,463,289
27.03. 13:00,11,5.7,397,209,284
27.03. 14:00,11,3.6,277,78,301
27.03. 15:00,11,4.6,186,52,320
27.03. 16:00,11,3.6,126,62,322
27.03. 17:00,12,3.1,56,36,316
27.03. 18:00,11,3.6,8,0,307
27.03. 19:00,9,2.1,0,0,288
27.03. 20:00,8,1.5,0,0,288
27.03. 21:00,5,2.6,0,0,282
27.03. 22:00,7,2.6,0,0,280
27.03. 23:00,6,2.1,0,0,280
28.03. 00:00,5.6,1.9,0,0,261
28.03. 01:00,5.2,1.7,0,0,256
28.03. 02:00,4.8,1.4,0,0,275
28.03. 03:00,4.4,1.2,0,0,270
28.03. 04:00,4,1,0,0,268
28.03. 05:00,4,1.5,0,0,270
28.03. 06:00,3,2.1,46,76,262
28.03. 07:00,4,2.1,141,256,270
28.03. 08:00,6,1.5,297,424,293
28.03. 09:00,8,3.6,437,519,287
28.03. 10:00,10,5.7,539,613,287
28.03. 11:00,11,5.1,579,618,296
28.03. 12:00,12,5.7,544,515,273
28.03. 13:00,13,4.6,377,307,283
28.03. 14:00,13,5.7,178,92,299
28.03. 15:00,13,4.6,95,20,328
28.03. 16:00,13,4.6,43,1,339
28.03. 17:00,12,5.7,9,0,339
28.03. 18:00,10,3.6,1,0,342
28.03. 19:00,9,4.1,0,0,341
28.03. 20:00,10,6.7,0,0,343
28.03. 21:00,9,7.7,0,0,343
28.03. 22:00,9,6.7,0,0,344
28.03. 23:00,9.4,7.2,0,0,345
29.03. 00:00,9.8,7.7,0,0,345
29.03. 01:00,10.2,8.3,0,0,347
29.03. 02:00,10.6,8.8,0,0,348
29.03. 03:00,11,9.3,0,0,345
29.03. 04:00,11,8.2,0,0,349
29.03. 05:00,11,7.2,0,0,350
29.03. 06:00,10,7.7,14,0,352
29.03. 07:00,10,6.7,40,3,352
29.03. 08:00,10,5.7,66,7,353
29.03. 09:00,10,7.2,84,10,346
29.03. 10:00,11,6.2,84,5,348
29.03. 11:00,11,6.7,93,0,349
29.03. 12:00,11,7.2,93,0,346
29.03. 13:00,10,8.8,70,0,345
29.03. 14:00,11,8.8,49,0,345
29.03. 15:00,11,11.3,33,0,346
29.03. 16:00,11,11.8,23,1,347
29.03. 17:00,11,11.8,9,1,349
29.03. 18:00,11,8.8,1,0,351
29.03. 19:00,11,8.8,0,0,351
29.03. 20:00,11,11.3,0,0,356
29.03. 21:00,11,10.8,0,0,355
29.03. 22:00,11,7.2,0,0,353
29.03. 23:00,10.6,6.9,0,0,352
30.03. 00:00,10.2,6.6,0,0,352
30.03. 01:00,9.8,6.3,0,0,352
30.03. 02:00,9.4,6,0,0,338
30.03. 03:00,9,5.7,0,0,341
30.03. 04:00,9,6.2,0,0,344
30.03. 05:00,9,5.1,0,0,347
30.03. 06:00,9,6.7,19,17,344
30.03. 07:00,9,5.1,40,24,340
30.03. 08:00,9,6.2,99,62,333
30.03. 09:00,10,6.2,200,110,334
30.03. 10:00,11,6.2,286,179,326
30.03. 11:00,9,5.1,409,357,323
30.03. 12:00,11,7.7,505,457,313
30.03. 13:00,10,3.6,447,359,287
30.03. 14:00,12,7.2,397,407,296
30.03. 15:00,12,8.2,328,417,303
30.03. 16:00,12,7.7,182,273,288
30.03. 17:00,11,5.7,74,180,286
30.03. 18:00,12,6.2,12,0,293
30.03. 19:00,10,3.6,0,0,287
30.03. 20:00,9,3.1,0,0,311
30.03. 21:00,9,2.6,0,0,268
30.03. 22:00,7,3.1,0,0,298
30.03. 23:00,8,5,0,0,327
31.03. 00:00,9,6.8,0,0,322
31.03. 01:00,10,8.7,0,0,332
31.03. 02:00,11,10.5,0,0,338
31.03. 03:00,12,12.4,0,0,344
31.03. 04:00,12,12.4,0,0,350
31.03. 05:00,13,8.8,0,0,354
31.03. 06:00,14,10.8,36,19,347
31.03. 07:00,14,11.8,54,24,349
31.03. 08:00,14,13.4,58,11,354
31.03. 09:00,14,11.3,110,41,356
31.03. 10:00,13,10.3,156,46,351
31.03. 11:00,14,11.3,168,24,330
31.03. 12:00,13,11.3,192,85,336
31.03. 13:00,12,8.2,263,193,337
31.03. 14:00,11,9.8,272,237,318
31.03. 15:00,12,7.7,246,341,328
31.03. 16:00,10,7.7,192,368,304
31.03. 17:00,6,5.7,75,238,293
31.03. 18:00,5.8,4.1,13,0,286
31.03. 19:00,6,4.1,0,0,281
31.03. 20:00,6.8,5.1,0,0,291
31.03. 21:00,7.4,5.6,0,0,292
31.03. 22:00,7.8,5.9,0,0,281
31.03. 23:00,7.1,6.2,0,0,273
01.04. 00:00,5.9,5.6,0,0,300
01.04. 01:00,4.9,5.2,0,0,300
01.04. 02:00,4.3,5,0,0,301
01.04. 03:00,3.8,4.8,0,0,288
01.04. 04:00,3.5,4.7,0,0,281
01.04. 05:00,4,4.3,0,0,282
01.04. 06:00,3,4.6,89,268,291
01.04. 07:00,3,4.1,206,385,271
01.04. 08:00,6,3.6,315,412,249
01.04. 09:00,6,5.1,454,574,276
01.04. 10:00,7,4.1,565,633,267
01.04. 11:00,7,5.1,632,649,260
01.04. 12:00,7,6.7,588,578,264
01.04. 13:00,4,5.1,469,426,272
01.04. 14:00,8,9.3,407,434,287
01.04. 15:00,8,7.7,297,366,290
01.04. 16:00,8,7.2,178,277,285
01.04. 17:00,8,5.1,88,232,269
01.04. 18:00,8,5.1,15,0,272
01.04. 19:00,8,5.7,0,0,265
01.04. 20:00,6,4.6,0,0,252
01.04. 21:00,6,5.7,0,0,262
01.04. 22:00,7,6.2,0,0,262
01.04. 23:00,7,6.4,0,0,285
02.04. 00:00,7,6.6,0,0,284
02.04. 01:00,7,6.8,0,0,281
02.04. 02:00,7,7,0,0,294
02.04. 03:00,7,7.2,0,0,302
02.04. 04:00,6,7.7,0,0,309
02.04. 05:00,6,6.7,0,0,317
02.04. 06:00,5,7.2,15,0,317
02.04. 07:00,5,9.8,30,0,319
02.04. 08:00,5,10.3,34,0,322
02.04. 09:00,6,8.8,42,0,326
02.04. 10:00,6,8.8,56,4,329
02.04. 11:00,7,7.7,73,11,333
02.04. 12:00,8,4.6,124,39,336
02.04. 13:00,8,3.1,288,206,337
02.04. 14:00,9,3.1,378,332,324
02.04. 15:00,10,5.1,283,275,290
02.04. 16:00,10,4.1,186,243,288
02.04. 17:00,10,4.6,92,191,287
02.04. 18:00,8,3.6,17,0,273
02.04. 19:00,7,1.5,0,0,270
02.04. 20:00,7,1.5,0,0,256
02.04. 21:00,4,1,0,0,247
02.04. 22:00,3.2,1.1,0,0,244
02.04. 23:00,2.3,1.2,0,0,242
03.04. 00:00,1.5,1.2,0,0,234
03.04. 01:00,0.7,1.3,0,0,233
03.04. 02:00,-0.2,1.4,0,0,232
03.04. 03:00,-1,1.5,0,0,231
03.04. 04:00,-1,1,0,0,229
03.04. 05:00,-2,0.5,0,0,229
03.04. 06:00,-3,0,111,419,227
03.04. 07:00,0,1,270,608,227
03.04. 08:00,3,1,436,739,231
03.04. 09:00,3,1.5,575,798,235
03.04. 10:00,6,1.5,669,796,239
03.04. 11:00,9,2.1,682,682,245
03.04. 12:00,10,3.1,635,524,258
03.04. 13:00,11,3.1,576,474,277
03.04. 14:00,12,2.6,474,408,290
03.04. 15:00,12,2.6,331,278,284
03.04. 16:00,12,2.1,171,122,281
03.04. 17:00,11,2.6,50,13,296
03.04. 18:00,9,2.6,7,0,314
03.04. 19:00,8,1,0,0,320
03.04. 20:00,7,1,0,0,316
03.04. 21:00,7,1,0,0,318
03.04. 22:00,6,1,0,0,322
03.04. 23:00,5.8,1,0,0,325
04.04. 00:00,5.6,1,0,0,327
04.04. 01:00,5.4,1,0,0,326
04.04. 02:00,5.2,1,0,0,327
04.04. 03:00,5,1,0,0,326
04.04. 04:00,5,0.5,0,0,323
04.04. 05:00,5,1.5,0,0,323
04.04. 06:00,6,2.1,16,0,322
04.04. 07:00,6,1.5,34,0,326
04.04. 08:00,6,2.1,45,0,329
04.04. 09:00,6,2.6,71,0,330
04.04. 10:00,6,2.6,133,0,329
04.04. 11:00,5,5.1,150,0,329
04.04. 12:00,5,6.2,129,0,327
04.04. 13:00,5,5.7,138,0,328
04.04. 14:00,5,5.7,139,1,327
04.04. 15:00,5,6.2,145,17,327
04.04. 16:00,6,5.1,135,66,327
04.04. 17:00,5,5.7,71,115,314
04.04. 18:00,5,4.1,16,0,298
04.04. 19:00,5,3.1,0,0,282
04.04. 20:00,5,3.1,0,0,254
04.04. 21:00,4,1.5,0,0,259
04.04. 22:00,3.5,1.8,0,0,261
04.04. 23:00,3,2,0,0,240
05.04. 00:00,2.5,2.3,0,0,239
05.04. 01:00,2,2.6,0,0,246
05.04. 02:00,1.5,2.8,0,0,253
05.04. 03:00,1,3.1,0,0,259
05.04. 04:00,1,3.6,0,0,243
05.04. 05:00,1,4.1,0,0,232
05.04. 06:00,0,3.6,122,446,228
05.04. 07:00,1,5.1,284,632,225
05.04. 08:00,3,5.1,444,731,226
05.04. 09:00,5,6.2,571,732,231
05.04. 10:00,6,6.2,648,703,240
05.04. 11:00,8,6.7,645,611,245
05.04. 12:00,8,5.1,668,652,250
05.04. 13:00,8,6.2,656,714,268
05.04. 14:00,8,6.2,537,622,251
05.04. 15:00,8,5.1,413,581,263
05.04. 16:00,9,5.1,264,482,269
05.04. 17:00,9,4.1,116,362,264
05.04. 18:00,8,4.1,25,0,259
05.04. 19:00,8,2.1,0,0,243
05.04. 20:00,8,3.1,0,0,238
05.04. 21:00,7,3.1,0,0,234
05.04. 22:00,5,2,0,0,232
05.04. 23:00,3,1,0,0,230
06.04. 00:00,2,1,0,0,230
06.04. 01:00,1,1,0,0,229
06.04. 02:00,0,1,0,0,228
06.04. 03:00,-1,1,0,0,228
06.04. 04:00,-2,0.5,0,0,228
06.04. 05:00,-2,0.5,0,0,228
06.04. 06:00,-2,0.5,126,451,228
06.04. 07:00,0,1,284,616,229
06.04. 08:00,1,1,442,697,232
06.04. 09:00,3,1,514,568,242
06.04. 10:00,5,1,465,300,250
06.04. 11:00,7,1,456,245,280
06.04. 12:00,9,1,401,225,287
06.04. 13:00,9,2.1,287,92,299
06.04. 14:00,10,4.1,275,96,320
06.04. 15:00,9,2.1,289,277,320
06.04. 16:00,10,4.6,234,374,311
06.04. 17:00,9,4.1,111,317,287
06.04. 18:00,9,4.1,24,0,271
06.04. 19:00,7,2.1,0,0,265
06.04. 20:00,6,2.1,0,0,244
06.04. 21:00,4,1,0,0,242
06.04. 22:00,3.2,1.1,0,0,239
06.04. 23:00,2.3,1.2,0,0,237
07.04. 00:00,1.5,1.2,0,0,235
07.04. 01:00,0.7,1.3,0,0,233
07.04. 02:00,-0.2,1.4,0,0,231
07.04. 03:00,-1,1.5,0,0,229
07.04. 04:00,0,1,0,0,228
07.04. 05:00,0,1,0,0,227
07.04. 06:00,-1,1.5,133,470,226
07.04. 07:00,1,2.1,299,656,226
07.04. 08:00,4,2.1,466,774,228
07.04. 09:00,6,2.6,610,842,232
07.04. 10:00,9,3.1,713,879,237
07.04. 11:00,10,4.1,767,894,241
07.04. 12:00,10,4.1,766,894,245
07.04. 13:00,11,4.6,712,876,248
07.04. 14:00,12,4.1,608,839,251
07.04. 15:00,12,3.6,466,772,253
07.04. 16:00,12,3.6,299,656,254
07.04. 17:00,12,2.6,134,468,253
07.04. 18:00,11,1.5,28,0,252
07.04. 19:00,9,0.5,0,0,250
07.04. 20:00,7,0,0,0,248
07.04. 21:00,5,0.5,0,0,247
07.04. 22:00,4,0,0,0,245
07.04. 23:00,3,1,0,0,244
08.04. 00:00,2.2,1,0,0,243
08.04. 01:00,1.5,1,0,0,242
08.04. 02:00,0.8,1,0,0,241
08.04. 03:00,0,1,0,0,240
08.04. 04:00,-1,1.5,0,0,239
08.04. 05:00,-1,0,0,0,238
08.04. 06:00,-1,1.5,136,469,238
08.04. 07:00,2,0,301,656,238
08.04. 08:00,4,1,467,768,241
08.04. 09:00,7,1,608,832,247
08.04. 10:00,10,1,709,869,254
08.04. 11:00,12,1.5,757,875,259
08.04. 12:00,13,2.6,753,869,264
08.04. 13:00,14,3.1,700,851,270
08.04. 14:00,15,3.6,594,808,273
08.04. 15:00,16,4.1,455,744,276
08.04. 16:00,16,4.6,294,632,278
08.04. 17:00,15,3.6,132,448,277
08.04. 18:00,14,4.1,28,170,277
08.04. 19:00,12,2.1,0,0,275
08.04. 20:00,11,1,0,0,273
08.04. 21:00,8,2.1,0,0,271
08.04. 22:00,8,3.1,0,0,268
08.04. 23:00,7,2.6,0,0,266
09.04. 00:00,6.5,2.5,0,0,264
09.04. 01:00,6,2.3,0,0,262
09.04. 02:00,5.5,2.2,0,0,261
09.04. 03:00,5,2.1,0,0,260
09.04. 04:00,4,2.6,0,0,259
09.04. 05:00,4,0.5,0,0,258
09.04. 06:00,2,1,138,459,257
09.04. 07:00,4,0.5,302,643,257
09.04. 08:00,7,1.5,467,758,260
09.04. 09:00,11,0.5,607,824,265
09.04. 10:00,13,1.5,707,859,272
09.04. 11:00,15,2.1,759,874,278
09.04. 12:00,17,1.5,758,873,284
09.04. 13:00,18,1.5,704,854,289
09.04. 14:00,19,1.5,603,818,293
09.04. 15:00,20,2.1,464,758,294
09.04. 16:00,20,2.1,299,641,293
09.04. 17:00,20,1,136,456,292
09.04. 18:00,19,1.5,30,174,291
09.04. 19:00,17,1,0,0,287
09.04. 20:00,12,1,0,0,281
09.04. 21:00,11,0.5,0,0,277
09.04. 22:00,9,1.5,0,0,274
09.04. 23:00,8.4,1.4,0,0,271
10.04. 00:00,7.8,1.3,0,0,269
10.04. 01:00,7.2,1.2,0,0,268
10.04. 02:00,6.6,1.1,0,0,267
10.04. 03:00,6,1,0,0,266
10.04. 04:00,5,1,0,0,267
10.04. 05:00,4,1,0,0,266
10.04. 06:00,4,0,143,444,264
10.04. 07:00,7,0.5,310,649,265
10.04. 08:00,10,1.5,479,773,264
10.04. 09:00,14,2.1,620,835,270
10.04. 10:00,16,2.1,721,869,275
10.04. 11:00,18,2.6,772,881,281
10.04. 12:00,20,1.5,758,828,286
10.04. 13:00,21,3.1,691,757,291
10.04. 14:00,22,2.1,584,707,298
10.04. 15:00,22,2.6,429,564,300
10.04. 16:00,23,1,259,366,302
10.04. 17:00,22,1.5,118,236,310
10.04. 18:00,22,2.1,28,96,306
10.04. 19:00,18,1,0,0,300
10.04. 20:00,16,0.5,0,0,297
10.04. 21:00,16,1,0,0,293
10.04. 22:00,14,2.1,0,0,298
10.04. 23:00,14,2.6,0,0,298
11.04. 00:00,14,3.1,0,0,287
11.04. 01:00,14,3.6,0,0,304
11.04. 02:00,14,4.1,0,0,294
11.04. 03:00,14,4.6,0,0,294
11.04. 04:00,13,4.6,0,0,296
11.04. 05:00,13,4.6,0,0,292
11.04. 06:00,14,4.6,110,221,293
11.04. 07:00,13,4.1,243,314,295
11.04. 08:00,12,3.6,354,364,289
11.04. 09:00,14,5.1,441,410,299
11.04. 10:00,15,5.1,485,396,306
11.04. 11:00,13,7.7,601,545,311
11.04. 12:00,12,6.2,713,758,330
11.04. 13:00,13,6.2,602,591,308
11.04. 14:00,13,7.7,427,348,314
11.04. 15:00,14,7.7,275,220,319
11.04. 16:00,14,6.7,147,150,332
11.04. 17:00,14,5.7,65,127,343
11.04. 18:00,13,4.6,15,59,348
11.04. 19:00,13,3.6,0,0,344
11.04. 20:00,13,3.6,0,0,325
11.04. 21:00,12,3.1,0,0,325
11.04. 22:00,11,3.1,0,0,310
11.04. 23:00,11,3.1,0,0,294
12.04. 00:00,11.2,2.7,0,0,300
12.04. 01:00,11.5,2.3,0,0,305
12.04. 02:00,11.8,1.9,0,0,315
12.04. 03:00,12,1.5,0,0,340
12.04. 04:00,11,1,0,0,342
12.04. 05:00,11,1,0,0,337
12.04. 06:00,10,1,126,294,317
12.04. 07:00,11,1,295,566,324
12.04. 08:00,12,1.5,436,636,287
12.04. 09:00,13,1,556,677,286
12.04. 10:00,14,2.1,567,584,302
12.04. 11:00,16,2.1,573,531,296
12.04. 12:00,18,2.6,594,541,336
12.04. 13:00,18,2.6,567,538,319
12.04. 14:00,19,3.6,467,423,333
12.04. 15:00,19,2.6,331,320,330
12.04. 16:00,19,2.6,245,363,337
12.04. 17:00,19,3.6,127,342,333
12.04. 18:00,18,2.1,34,172,324
12.04. 19:00,16,1.5,0,0,296
12.04. 20:00,16,1.5,0,0,291
12.04. 21:00,13,1.5,0,0,288
12.04. 22:00,11.7,1.9,0,0,286
12.04. 23:00,10.3,2.2,0,0,285
13.04. 00:00,9,2.6,0,0,284
13.04. 01:00,9,2.6,0,0,282
13.04. 02:00,9,2.6,0,0,280
13.04. 03:00,9,2.6,0,0,278
13.04. 04:00,8,3.1,0,0,275
13.04. 05:00,7,2.1,32,135,274
13.04. 06:00,8,2.1,143,396,272
13.04. 07:00,9,2.1,291,533,282
13.04. 08:00,12,4.1,387,513,276
13.04. 09:00,14,4.6,478,515,285
13.04. 10:00,16,4.1,575,556,318
13.04. 11:00,17,4.1,605,563,321
13.04. 12:00,18,4.1,588,548,325
13.04. 13:00,19,4.6,475,338,324
13.04. 14:00,19,4.1,340,155,326
13.04. 15:00,19,4.6,301,287,359
13.04. 16:00,19,4.1,231,351,352
13.04. 17:00,19,3.6,111,260,336
13.04. 18:00,18,2.6,29,110,325
