Time,AirTemperature,WindSpeed,GlobalRadiation,DirectNormalRad,DiffRadiation
07.01. 03:00,11.2,7.5,0,0,328
07.01. 04:00,11,7.2,0,0,319
07.01. 05:00,11,6.7,0,0,308
07.01. 06:00,11,6.7,0,0,314
07.01. 07:00,10,3.6,0,0,293
07.01. 08:00,11,5.1,25,10,320
07.01. 09:00,11,4.1,79,59,324
07.01. 10:00,11,4.6,88,54,323
07.01. 11:00,12,4.6,43,5,324
07.01. 12:00,11,3.1,25,2,346
07.01. 13:00,11,1.5,27,2,350
07.01. 14:00,11,3.1,23,0,350
07.01. 15:00,11,4.1,10,0,351
07.01. 16:00,12,6.2,2,0,350
07.01. 17:00,11,3.1,0,0,344
07.01. 18:00,12,4.6,0,0,348
07.01. 19:00,12,6.2,0,0,349
07.01. 20:00,12,5.1,0,0,347
07.01. 21:00,12,3.6,0,0,333
07.01. 22:00,11,3.6,0,0,327
07.01. 23:00,11,2.6,0,0,332
08.01. 00:00,11.2,3.4,0,0,342
08.01. 01:00,11.4,4.2,0,0,333
08.01. 02:00,11.6,5.1,0,0,327
08.01. 03:00,11.8,5.9,0,0,322
08.01. 04:00,12,6.7,0,0,318
08.01. 05:00,11,7.2,0,0,311
08.01. 06:00,11,8.2,0,0,322
08.01. 07:00,11,7.2,0,0,306
08.01. 08:00,11,4.6,37,110,306
08.01. 09:00,12,6.2,119,336,298
08.01. 10:00,12,4.6,168,359,291
08.01. 11:00,13,5.7,188,311,287
08.01. 12:00,14,7.2,201,391,301
08.01. 13:00,14,6.2,171,403,308
08.01. 14:00,14,5.7,121,348,313
08.01. 15:00,14,8.2,53,157,308
08.01. 16:00,13,6.2,8,0,300
08.01. 17:00,12,6.7,0,0,294
08.01. 18:00,12,5.1,0,0,305
08.01. 19:00,12,5.1,0,0,302
08.01. 20:00,11,4.1,0,0,288
08.01. 21:00,12,4.6,0,0,312
08.01. 22:00,12,5.1,0,0,323
08.01. 23:00,12,5.4,0,0,328
09.01. 00:00,12,5.8,0,0,329
09.01. 01:00,12,6.2,0,0,304
09.01. 02:00,12,6.5,0,0,329
09.01. 03:00,12,6.8,0,0,308
09.01. 04:00,12,7.2,0,0,309
09.01. 05:00,12,7.2,0,0,315
09.01. 06:00,13,8.2,0,0,321
09.01. 07:00,12,7.2,0,0,320
09.01. 08:00,12,4.6,26,9,325
09.01. 09:00,12,5.1,49,24,329
09.01. 10:00,11,4.1,51,16,313
09.01. 11:00,10,4.6,59,1,330
09.01. 12:00,10,5.7,58,0,330
09.01. 13:00,10,5.1,35,1,346
09.01. 14:00,8,2.6,17,1,348
09.01. 15:00,8,1.5,8,0,347
09.01. 16:00,7,1.5,1,0,343
09.01. 17:00,7,1.5,0,0,338
09.01. 18:00,6,1,0,0,333
09.01. 19:00,6,2.1,0,0,329
09.01. 20:00,5,1,0,0,328
09.01. 21:00,5,0,0,0,326
09.01. 22:00,4.1,0.2,0,0,314
09.01. 23:00,3.3,0.2,0,0,314
10.01. 00:00,2.4,0.3,0,0,303
10.01. 01:00,1.6,0.3,0,0,304
10.01. 02:00,0.7,0.4,0,0,274
10.01. 03:00,-0.1,0.4,0,0,274
10.01. 04:00,-1,0.5,0,0,282
10.01. 05:00,-1,0.5,0,0,277
10.01. 06:00,-1,0.5,0,0,268
10.01. 07:00,-2,1,0,0,286
10.01. 08:00,-1,0,23,17,302
10.01. 09:00,0,0.5,65,44,307
10.01. 10:00,1,1.5,106,54,309
10.01. 11:00,1,1.5,140,65,313
10.01. 12:00,1,1.5,160,77,310
10.01. 13:00,1,1.5,153,103,308
10.01. 14:00,1,2.6,105,85,305
10.01. 15:00,1,3.1,42,22,305
10.01. 16:00,1,3.1,7,0,303
10.01. 17:00,1,3.6,0,0,291
10.01. 18:00,1,3.6,0,0,285
10.01. 19:00,1,2.6,0,0,274
10.01. 20:00,1,3.6,0,0,247
10.01. 21:00,1,2.6,0,0,244
10.01. 22:00,1,3.1,0,0,252
10.01. 23:00,1,2.1,0,0,248
11.01. 00:00,1.2,1.9,0,0,265
11.01. 01:00,1.4,1.7,0,0,277
11.01. 02:00,1.6,1.4,0,0,273
11.01. 03:00,1.8,1.2,0,0,248
11.01. 04:00,2,1,0,0,249
11.01. 05:00,2,0,0,0,256
11.01. 06:00,2,0.5,0,0,260
11.01. 07:00,3,2.1,0,0,250
11.01. 08:00,3,1,47,148,258
11.01. 09:00,2,0,132,391,264
11.01. 10:00,3,1.5,221,546,251
11.01. 11:00,4,2.1,267,582,239
11.01. 12:00,4,1.5,241,430,244
11.01. 13:00,5,2.1,158,181,247
11.01. 14:00,5,3.6,68,34,273
11.01. 15:00,6,5.1,16,3,293
11.01. 16:00,6,5.1,2,0,318
11.01. 17:00,6,6.7,0,0,326
11.01. 18:00,6,6.2,0,0,329
11.01. 19:00,6,4.6,0,0,330
11.01. 20:00,6,5.7,0,0,333
11.01. 21:00,6,4.1,0,0,323
11.01. 22:00,6,4.1,0,0,321
11.01. 23:00,7,5.1,0,0,313
12.01. 00:00,6.8,4.8,0,0,328
12.01. 01:00,6.6,4.5,0,0,328
12.01. 02:00,6.4,4.2,0,0,335
12.01. 03:00,6.2,3.9,0,0,335
12.01. 04:00,6,3.6,0,0,335
12.01. 05:00,5,3.1,0,0,325
12.01. 06:00,5,3.6,0,0,328
12.01. 07:00,5,3.6,0,0,311
12.01. 08:00,6,4.1,19,0,329
12.01. 09:00,5,3.1,53,4,323
12.01. 10:00,6,4.1,77,9,327
12.01. 11:00,6,5.1,77,7,319
12.01. 12:00,6,5.7,64,2,300
12.01. 13:00,7,5.7,54,0,319
12.01. 14:00,7,7.2,37,0,324
12.01. 15:00,7,8.2,12,0,326
12.01. 16:00,6,8.2,2,0,325
12.01. 17:00,6,8.2,0,0,325
12.01. 18:00,7,8.7,0,0,329
12.01. 19:00,7,9.3,0,0,330
12.01. 20:00,7,9.8,0,0,335
12.01. 21:00,7,9.3,0,0,335
12.01. 22:00,7,7.7,0,0,338
12.01. 23:00,8.6,9,0,0,341
13.01. 00:00,8.9,9,0,0,343
13.01. 01:00,9.1,8.9,0,0,343
13.01. 02:00,9.4,8.9,0,0,348
13.01. 03:00,9.6,8.8,0,0,350
13.01. 04:00,9.8,8.8,0,0,352
13.01. 05:00,10,8.7,0,0,353
13.01. 06:00,9,7.7,0,0,354
13.01. 07:00,10,8.7,0,0,354
13.01. 08:00,10,7.2,3,0,357
13.01. 09:00,10,7.7,11,0,357
13.01. 10:00,10,7.2,19,0,358
13.01. 11:00,11,7.2,27,0,358
13.01. 12:00,11,7.2,28,0,358
13.01. 13:00,11,8.2,19,0,358
13.01. 14:00,11,7.2,11,0,359
13.01. 15:00,11,8.2,6,0,359
13.01. 16:00,11,7.2,2,0,359
13.01. 17:00,11,6.7,0,0,359
13.01. 18:00,11,6.7,0,0,358
13.01. 19:00,11,6.7,0,0,358
13.01. 20:00,11,5.7,0,0,363
13.01. 21:00,11,6.2,0,0,362
13.01. 22:00,11,6.7,0,0,362
13.01. 23:00,11,6.2,0,0,361
14.01. 00:00,11,5.7,0,0,359
14.01. 01:00,11,5.1,0,0,359
14.01. 02:00,11,4.6,0,0,357
14.01. 03:00,10,5.1,0,0,356
14.01. 04:00,11,5.1,0,0,356
14.01. 05:00,11,6.2,0,0,355
14.01. 06:00,11,5.1,0,0,355
14.01. 07:00,11,6.2,0,0,354
14.01. 08:00,11,5.7,24,37,355
14.01. 09:00,11,7.2,80,143,350
14.01. 10:00,11,5.1,119,158,326
14.01. 11:00,11,5.7,120,67,301
14.01. 12:00,12,6.2,134,61,324
14.01. 13:00,12,6.2,115,52,340
14.01. 14:00,12,4.1,72,38,336
14.01. 15:00,12,5.7,39,33,343
14.01. 16:00,12,6.2,7,0,340
14.01. 17:00,11,6.7,0,0,335
14.01. 18:00,11,6.2,0,0,317
14.01. 19:00,11,5.7,0,0,317
14.01. 20:00,11,5.7,0,0,311
14.01. 21:00,10,5.7,0,0,300
14.01. 22:00,10,7.2,0,0,290
14.01. 23:00,10,6.7,0,0,292
15.01. 00:00,10,5.7,0,0,304
15.01. 01:00,9.8,5.6,0,0,324
15.01. 02:00,9.5,5.4,0,0,342
15.01. 03:00,9.2,5.2,0,0,342
15.01. 04:00,9,5.1,0,0,334
15.01. 05:00,8,5.1,0,0,307
15.01. 06:00,7,4.1,0,0,333
15.01. 07:00,7,3.6,0,0,334
15.01. 08:00,7,4.6,26,31,336
15.01. 09:00,8,6.7,68,48,322
15.01. 10:00,9,5.7,108,79,339
15.01. 11:00,10,6.2,141,157,329
15.01. 12:00,11,5.7,152,133,319
15.01. 13:00,11,4.1,141,140,292
15.01. 14:00,11,5.7,104,144,328
15.01. 15:00,11,5.1,45,82,307
15.01. 16:00,11,4.6,9,0,327
15.01. 17:00,9,3.6,0,0,303
15.01. 18:00,8,2.6,0,0,302
15.01. 19:00,8,3.1,0,0,301
15.01. 20:00,7,2.6,0,0,273
15.01. 21:00,8,2.6,0,0,272
15.01. 22:00,7,2.1,0,0,284
15.01. 23:00,6.5,2,0,0,272
16.01. 00:00,6,1.9,0,0,267
16.01. 01:00,5.5,1.8,0,0,260
16.01. 02:00,5,1.7,0,0,257
16.01. 03:00,4.5,1.6,0,0,256
16.01. 04:00,4,1.5,0,0,255
16.01. 05:00,4,0.5,0,0,253
16.01. 06:00,2,1.5,0,0,259
16.01. 07:00,1,1,0,0,247
16.01. 08:00,1,0.5,51,153,272
16.01. 09:00,1,0,143,403,282
16.01. 10:00,5,2.1,220,492,276
16.01. 11:00,7,2.6,256,499,272
16.01. 12:00,9,1.5,269,544,294
16.01. 13:00,10,0.5,237,511,285
16.01. 14:00,10,0.5,164,436,267
16.01. 15:00,10,0,78,347,278
16.01. 16:00,10,0,16,0,291
16.01. 17:00,8,1,0,0,266
16.01. 18:00,4,1.5,0,0,261
16.01. 19:00,3,0,0,0,264
16.01. 20:00,2,1,0,0,255
16.01. 21:00,1,0,0,0,251
16.01. 22:00,0.3,0,0,0,250
16.01. 23:00,0.1,0,0,0,249
17.01. 00:00,-0.1,0,0,0,249
17.01. 01:00,-0.4,0.1,0,0,250
17.01. 02:00,-0.6,0.2,0,0,251
17.01. 03:00,-0.8,0.4,0,0,251
17.01. 04:00,-1,0.5,0,0,252
17.01. 05:00,0,1,0,0,251
17.01. 06:00,-1,0,0,0,251
17.01. 07:00,-2,1,0,0,250
17.01. 08:00,-2,0.5,60,205,250
17.01. 09:00,-1,0.5,156,486,250
17.01. 10:00,1,0,243,601,252
17.01. 11:00,3,1,291,643,256
17.01. 12:00,5,2.6,295,646,260
17.01. 13:00,8,3.1,257,612,264
17.01. 14:00,10,2.6,177,499,267
17.01. 15:00,10,3.1,80,340,269
17.01. 16:00,9,2.6,16,0,270
17.01. 17:00,7,0,0,0,268
17.01. 18:00,6,1,0,0,275
17.01. 19:00,5,2.1,0,0,281
17.01. 20:00,6,2.1,0,0,274
17.01. 21:00,7,3.1,0,0,275
17.01. 22:00,8,3.1,0,0,305
17.01. 23:00,8,3.1,0,0,323
18.01. 00:00,7.8,2.9,0,0,335
18.01. 01:00,7.6,2.7,0,0,335
18.01. 02:00,7.4,2.5,0,0,327
18.01. 03:00,7.2,2.3,0,0,333
18.01. 04:00,7,2.1,0,0,337
18.01. 05:00,7,3.1,0,0,335
18.01. 06:00,8,3.1,0,0,341
18.01. 07:00,8,3.1,0,0,340
18.01. 08:00,8,3.1,33,35,342
18.01. 09:00,8,3.6,110,133,323
18.01. 10:00,8,3.1,190,253,312
18.01. 11:00,10,3.6,258,449,287
18.01. 12:00,10,3.1,288,578,285
18.01. 13:00,11,3.6,226,442,266
18.01. 14:00,11,3.1,128,237,271
18.01. 15:00,10,2.1,53,155,284
18.01. 16:00,10,1.5,12,0,307
18.01. 17:00,9,3.1,0,0,305
18.01. 18:00,8,3.6,0,0,320
18.01. 19:00,7,2.6,0,0,296
18.01. 20:00,8,2.1,0,0,295
18.01. 21:00,8,1.5,0,0,300
18.01. 22:00,8,3.6,0,0,302
18.01. 23:00,7,3.1,0,0,311
19.01. 00:00,7,3.1,0,0,331
19.01. 01:00,6.5,3.6,0,0,334
19.01. 02:00,6,4.1,0,0,332
19.01. 03:00,5,2,0,0,330
19.01. 04:00,4,0,0,0,312
19.01. 05:00,4,0.5,0,0,315
19.01. 06:00,4,1,0,0,302
19.01. 07:00,4,2.1,0,0,295
19.01. 08:00,4,1.5,47,82,291
19.01. 09:00,4,0,115,234,281
19.01. 10:00,4,0.5,201,405,274
19.01. 11:00,5,1,255,483,263
19.01. 12:00,5,1,254,479,259
19.01. 13:00,5,1.5,237,512,268
19.01. 14:00,5,3.1,171,450,264
19.01. 15:00,5,1.5,77,308,259
19.01. 16:00,5,0.5,18,0,280
19.01. 17:00,4,1,0,0,243
19.01. 18:00,3,2.1,0,0,268
19.01. 19:00,3,2.1,0,0,250
19.01. 20:00,2,2.1,0,0,243
19.01. 21:00,2,2.1,0,0,236
19.01. 22:00,2,3.1,0,0,254
19.01. 23:00,1.8,2.8,0,0,266
20.01. 00:00,1.7,2.4,0,0,270
20.01. 01:00,1.5,2,0,0,273
20.01. 02:00,1.3,1.7,0,0,271
20.01. 03:00,1.2,1.4,0,0,295
20.01. 04:00,1,1,0,0,300
20.01. 05:00,1,1.5,0,0,301
20.01. 06:00,1,1,0,0,293
20.01. 07:00,0,0,0,0,292
20.01. 08:00,0,0,39,79,262
20.01. 09:00,0,0,109,215,268
20.01. 10:00,1,0.5,188,326,276
20.01. 11:00,2,2.6,206,249,258
20.01. 12:00,2,3.1,183,135,260
20.01. 13:00,3,4.6,182,254,289
20.01. 14:00,3,4.1,153,323,296
20.01. 15:00,3,5.1,73,222,261
20.01. 16:00,3,4.1,15,0,247
20.01. 17:00,3,3.6,0,0,259
20.01. 18:00,3,3.1,0,0,245
20.01. 19:00,2,3.6,0,0,245
20.01. 20:00,2,3.6,0,0,243
20.01. 21:00,2,3.1,0,0,253
20.01. 22:00,2,3.6,0,0,233
20.01. 23:00,1.7,3.7,0,0,270
21.01. 00:00,1.3,3.8,0,0,282
21.01. 01:00,1,3.8,0,0,300
21.01. 02:00,0.7,3.9,0,0,291
21.01. 03:00,0.3,4,0,0,274
21.01. 04:00,0,4.1,0,0,282
21.01. 05:00,0,4.1,0,0,271
21.01. 06:00,0,4.1,0,0,272
21.01. 07:00,0,4.1,0,0,268
21.01. 08:00,0,4.6,60,169,265
21.01. 09:00,0,4.6,145,397,246
21.01. 10:00,1,5.1,211,445,249
21.01. 11:00,1,5.1,217,302,234
