date,ControllerSim-0.Controller_0-tes0_heat_out_F,ControllerSim-0.Controller_0-tes0_heat_in_F,ControllerSim-0.Controller_0-tes0_hp_out_F,ControllerSim-0.Controller_0-hp_in_F,ControllerSim-0.Controller_0-tes1_hp_out_F
2022-01-01 00:00:00,-0.03453804855017266,0.03453804855017266,-0.0,0.0,0.03453804855017266
2022-01-01 00:15:00,-1.1133192147484623,1.1133192147484623,-0.0,0.0,1.1133192147484623
2022-01-01 00:30:00,1.9383550267124117,1.2366291436875885,-3.1749841704,3.1749841704,-1.9383550267124117
2022-01-01 00:45:00,3.067026653730784,0.02416724116921616,-3.0911938949,3.0911938949,-3.067026653730784
2022-01-01 01:00:00,-0.3310184127039819,3.4587854965039817,-3.1277670838,3.1277670838,0.3310184127039819
2022-01-01 01:15:00,3.1122755925856165,0.018295125414383277,-3.130570718,3.130570718,-3.1122755925856165
2022-01-01 01:30:00,1.4798618632370906,1.7215785351629094,-3.2014403984,3.2014403984,-1.4798618632370906
2022-01-01 01:45:00,0.5241375417522787,2.6064331762477213,-3.130570718,3.130570718,-0.5241375417522787
2022-01-01 02:00:00,0.9042171393264722,2.226353578673528,-3.130570718,3.130570718,-0.9042171393264722
2022-01-01 02:15:00,1.2626518513370184,1.7679052194629816,-3.0305570708,3.0305570708,-1.2626518513370184
2022-01-01 02:30:00,1.3641765886359207,1.6663804821640793,-3.0305570708,3.0305570708,-1.3641765886359207
2022-01-01 02:45:00,1.340951285386178,1.689605785413822,-3.0305570708,3.0305570708,-1.340951285386178
2022-01-01 03:00:00,1.5224512964879775,1.5081057743120225,-3.0305570708,3.0305570708,-1.5224512964879775
2022-01-01 03:15:00,-1.4163099387422238,1.4163099387422238,-0.0,0.0,1.4163099387422238
2022-01-01 03:30:00,-1.5567967746225884,1.5567967746225884,-0.0,0.0,1.5567967746225884
2022-01-01 03:45:00,-1.8528869152972762,1.8528869152972762,-0.0,0.0,1.8528869152972762
2022-01-01 04:00:00,-2.299129821387205,2.299129821387205,-0.0,0.0,2.299129821387205
2022-01-01 04:15:00,-3.647629397319806,3.647629397319806,-0.0,0.0,3.647629397319806
2022-01-01 04:30:00,-6.012017028356414,9.042574099156415,-3.0305570708,3.0305570708,6.012017028356414
2022-01-01 04:45:00,-2.990264157818769,6.020821228618769,-3.0305570708,3.0305570708,2.990264157818769
2022-01-01 05:00:00,-1.5117674017718303,4.54232447257183,-3.0305570708,3.0305570708,1.5117674017718303
2022-01-01 05:15:00,-0.6557449082639906,3.6863019790639906,-3.0305570708,3.0305570708,0.6557449082639906
2022-01-01 05:30:00,-0.11601132076313991,3.14656839156314,-3.0305570708,3.0305570708,0.11601132076313991
2022-01-01 05:45:00,0.14861270493862344,2.8819443658613766,-3.0305570708,3.0305570708,-0.14861270493862344
2022-01-01 06:00:00,0.12373549310254806,2.906821577697452,-3.0305570708,3.0305570708,-0.12373549310254806
2022-01-01 06:15:00,0.19577303318902528,2.8347840376109747,-3.0305570708,3.0305570708,-0.19577303318902528
2022-01-01 06:30:00,0.17520220287988852,2.8553548679201115,-3.0305570708,3.0305570708,-0.17520220287988852
2022-01-01 06:45:00,0.2277844667898612,2.802772604010139,-3.0305570708,3.0305570708,-0.2277844667898612
2022-01-01 07:00:00,0.2900223986662165,2.7405346721337835,-3.0305570708,3.0305570708,-0.2900223986662165
2022-01-01 07:15:00,0.3414532270697772,2.689103843730223,-3.0305570708,3.0305570708,-0.3414532270697772
2022-01-01 07:30:00,0.391984407802096,2.638572662997904,-3.0305570708,3.0305570708,-0.391984407802096
2022-01-01 07:45:00,0.442234949280242,2.588322121519758,-3.0305570708,3.0305570708,-0.442234949280242
2022-01-01 08:00:00,-2.5378789712121197,2.5378789712121197,-0.0,0.0,2.5378789712121197
2022-01-01 08:15:00,-3.5885614068672385,3.5885614068672385,-0.0,0.0,3.5885614068672385
2022-01-01 08:30:00,-4.933303113298477,7.963860184098477,-3.0305570708,3.0305570708,4.933303113298477
2022-01-01 08:45:00,-3.177183015553734,6.207740086353734,-3.0305570708,3.0305570708,3.177183015553734
2022-01-01 09:00:00,-2.0189869703425445,5.0495440411425445,-3.0305570708,3.0305570708,2.0189869703425445
2022-01-01 09:15:00,-1.080736807631164,4.111293878431164,-3.0305570708,3.0305570708,1.080736807631164
2022-01-01 09:30:00,-0.35850663248072046,3.3890637032807205,-3.0305570708,3.0305570708,0.35850663248072046
2022-01-01 09:45:00,0.2526593936403514,2.7778976771596486,-3.0305570708,3.0305570708,-0.2526593936403514
2022-01-01 10:00:00,0.5385857052278324,2.4919713655721676,-3.0305570708,3.0305570708,-0.5385857052278324
2022-01-01 10:15:00,0.5943381658387388,2.4362189049612613,-3.0305570708,3.0305570708,-0.5943381658387388
2022-01-01 10:30:00,0.6250967011488635,2.4054603696511365,-3.0305570708,3.0305570708,-0.6250967011488635
2022-01-01 10:45:00,0.6544659130660304,2.3760911577339696,-3.0305570708,3.0305570708,-0.6544659130660304
2022-01-01 11:00:00,0.6851580148374241,2.345399055962576,-3.0305570708,3.0305570708,-0.6851580148374241
2022-01-01 11:15:00,-2.324683668732888,2.324683668732888,-0.0,0.0,2.324683668732888
2022-01-01 11:30:00,-2.719042571933468,2.719042571933468,-0.0,0.0,2.719042571933468
2022-01-01 11:45:00,-4.038665314179923,4.038665314179923,-0.0,0.0,4.038665314179923
2022-01-01 12:00:00,-7.84596748825726,10.87652455905726,-3.0305570708,3.0305570708,7.84596748825726
2022-01-01 12:15:00,-4.042536897558909,7.07309396835891,-3.0305570708,3.0305570708,4.042536897558909
