date,CSV-1.HEATLOAD_0-T_amb,HeatPumpSim-0.HeatPump_0-T_amb,CSV-1.HEATLOAD_0-Heat Demand [kW],HeatPumpSim-0.HeatPump_0-Q_Demand,HeatPumpSim-0.HeatPump_0-Q_Supplied,HeatPumpSim-0.HeatPump_0-heat_source_T,HeatPumpSim-0.HeatPump_0-cons_T,HeatPumpSim-0.HeatPump_0-P_Required,HeatPumpSim-0.HeatPump_0-COP,HeatPumpSim-0.HeatPump_0-cond_m,HeatPumpSim-0.HeatPump_0-cond_in_T,HeatPumpSim-0.HeatPump_0-on_fraction,HeatPumpSim-0.HeatPump_0-Q_evap,ControllerSim-0.Controller_0-heat_demand,ControllerSim-0.Controller_0-heat_supply,ControllerSim-0.Controller_0-hp_demand,ControllerSim-0.Controller_0-hp_supply,ControllerSim-0.Controller_0-chp_demand,ControllerSim-0.Controller_0-chp_supply,ControllerSim-0.Controller_0-sh_supply,ControllerSim-0.Controller_0-dhw_supply,ControllerSim-0.Controller_0-heat_in_F,ControllerSim-0.Controller_0-heat_in_T,ControllerSim-0.Controller_0-heat_out_F,ControllerSim-0.Controller_0-heat_out_T,ControllerSim-0.Controller_0-chp_in_F,ControllerSim-0.Controller_0-chp_in_T,ControllerSim-0.Controller_0-chp_out_F,ControllerSim-0.Controller_0-chp_out_T,ControllerSim-0.Controller_0-pv_gen,ControllerSim-0.Controller_0-hp_out_F,ControllerSim-0.Controller_0-hp_out_T,ControllerSim-0.Controller_0-P_hr,ControllerSim-0.Controller_0-dt,ControllerSim-0.Controller_0-boiler_demand,ControllerSim-0.Controller_0-chp_uptime,HotWaterTankSim-0.HotWaterTank_0-sensor_00.T,HotWaterTankSim-1.HotWaterTank_0-sensor_00.T,HotWaterTankSim-2.HotWaterTank_0-sensor_00.T,HotWaterTankSim-0.HotWaterTank_0-sensor_01.T,HotWaterTankSim-1.HotWaterTank_0-sensor_01.T,HotWaterTankSim-2.HotWaterTank_0-sensor_01.T,HotWaterTankSim-0.HotWaterTank_0-sensor_02.T,HotWaterTankSim-1.HotWaterTank_0-sensor_02.T,HotWaterTankSim-2.HotWaterTank_0-sensor_02.T,HotWaterTankSim-0.HotWaterTank_0-heat_out.T,HotWaterTankSim-1.HotWaterTank_0-heat_out.T,HotWaterTankSim-2.HotWaterTank_0-heat_out.T,HotWaterTankSim-0.HotWaterTank_0-heat_out.F,HotWaterTankSim-1.HotWaterTank_0-heat_out.F,HotWaterTankSim-2.HotWaterTank_0-heat_out.F,HotWaterTankSim-0.HotWaterTank_0-hp_in.T,HotWaterTankSim-1.HotWaterTank_0-hp_in.T,HotWaterTankSim-2.HotWaterTank_0-hp_in.T,HotWaterTankSim-0.HotWaterTank_0-hp_in.F,HotWaterTankSim-1.HotWaterTank_0-hp_in.F,HotWaterTankSim-2.HotWaterTank_0-hp_in.F,HotWaterTankSim-0.HotWaterTank_0-hp_out.T,HotWaterTankSim-1.HotWaterTank_0-hp_out.T,HotWaterTankSim-2.HotWaterTank_0-hp_out.T,HotWaterTankSim-0.HotWaterTank_0-hp_out.F,HotWaterTankSim-1.HotWaterTank_0-hp_out.F,HotWaterTankSim-2.HotWaterTank_0-hp_out.F,HotWaterTankSim-0.HotWaterTank_0-heat_in.T,HotWaterTankSim-1.HotWaterTank_0-heat_in.T,HotWaterTankSim-2.HotWaterTank_0-heat_in.T,HotWaterTankSim-0.HotWaterTank_0-heat_in.F,HotWaterTankSim-1.HotWaterTank_0-heat_in.F,HotWaterTankSim-2.HotWaterTank_0-heat_in.F,HotWaterTankSim-0.HotWaterTank_0-heat_out2.F,HotWaterTankSim-1.HotWaterTank_0-heat_out2.F,HotWaterTankSim-2.HotWaterTank_0-heat_out2.F,HotWaterTankSim-0.HotWaterTank_0-heat_out2.T,HotWaterTankSim-1.HotWaterTank_0-heat_out2.T,HotWaterTankSim-2.HotWaterTank_0-heat_out2.T,HotWaterTankSim-0.HotWaterTank_0-T_mean,HotWaterTankSim-1.HotWaterTank_0-T_mean,HotWaterTankSim-2.HotWaterTank_0-T_mean,HotWaterTankSim-2.HotWaterTank_0-hr_1.P_th,Chpsim_v2-0.CHP0-P_th,Boilersim_v2-0.Boiler0-P_th,Chpsim_v2-0.CHP0-mdot,Boilersim_v2-0.Boiler0-mdot,Chpsim_v2-0.CHP0-mdot_neg,Chpsim_v2-0.CHP0-temp_in,Chpsim_v2-0.CHP0-Q_demand,Boilersim_v2-0.Boiler0-Q_demand,Chpsim_v2-0.CHP0-temp_out,Boilersim_v2-0.Boiler0-temp_out,Chpsim_v2-0.CHP0-P_el,Chpsim_v2-0.CHP0-uptime
2022-01-01 12:45:00,11.1,11.1,118.3675,925366.1082734208,40500.0,11.1,42.10290458646893,11669.307321135513,3.4706430198,1.8409210566,36.844812568415186,1.0,-28780.692678864485,118367.5,118367.5,917355.0702291812,40500.0,59032.10598559359,0.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,59.153459283189385,27341641.515433688,-1.8409210566,36.844812568415186,"[0, 0, 0]",0,29516.052992796795,465.0,36.954950852831715,40.48114048010128,59.153459283189385,38.85086371589186,41.23963456021672,66.42373510235882,39.65796210548983,41.878723192983784,72.56409530994235,40.33128585135229,41.878723192983784,72.56409530994235,1.087794667188793,-0.753126389411207,-0.7584138049785518,39.65796210548983,42.10290458646893,72.56409530994235,0.0,1.8409210566,0.0,36.954950852831715,40.48114048010128,41.67203876344864,-1.8409210566,-1.087794667188793,0.7584138049785518,35.0,40.48114048010128,59.153459283189385,0.753126389411207,0.0,0.0,0.0,0.0,0.0,39.65796210548983,41.878723192983784,72.56409530994235,38.48792555807113,41.19983274443393,66.04709656516353,0,0.0,0.0,4.0,0.0,-4.0,59.153459283189385,-134232.03541112668,-67116.01770556334,59.153459283189385,75.0,0.0,465.0
2022-01-01 13:00:00,11.1,11.1,115.49,917355.0702291812,40500.0,11.1,42.21304287088546,11669.307321135513,3.4706430198,1.8409210566,36.954950852831715,1.0,-28780.692678864485,115490.0,115489.99999999999,909674.7605292018,40500.0,223726.69796887223,92000.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,56.79168215149801,27411400.837029442,-1.8409210566,36.954950852831715,"[0, 0, 0]",0,111863.34898443612,480.0,37.059963847598674,40.62679218033009,56.79168215149801,39.00715489023678,41.3630471465866,65.43301541027988,39.81599168726266,41.98583588675825,71.72017429529198,40.48114048010128,41.98583588675825,71.72017429529198,1.0892151348206953,-0.7517059217793047,-0.753126389411207,39.81599168726266,42.21304287088546,71.72017429529198,0.0,1.8409210566,0.0,37.059963847598674,40.62679218033009,41.773093846656224,-1.8409210566,-1.0892151348206953,0.753126389411207,35.0,40.62679218033009,56.79168215149801,0.7517059217793048,0.0,0.0,0.0,0.0,0.0,39.81599168726266,41.98583588675825,71.72017429529198,38.627703475032696,41.325225071224985,64.64829061902329,0,92000.0,74000.0,4.0,0.9706416724956171,-4.0,56.79168215149801,59032.10598559359,29516.052992796795,62.284875368598556,75.0,46000.0,480.0
2022-01-01 13:15:00,11.1,11.1,116.885,909674.7605292018,40500.0,11.1,42.31805586565242,11669.307321135513,3.4706430198,1.8409210566,37.059963847598674,1.0,-28780.692678864485,116885.0,116884.99999999999,902351.8543607859,40500.0,-92833.6179943811,92000.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,61.3312660324242,25883407.990057677,-1.8409210566,37.059963847598674,"[0, 0, 0]",0,-46416.80899719055,495.0,37.16253601619554,40.76836977686747,61.3312660324242,39.16410608190474,41.48352175726549,63.40872652099746,39.9719162161647,42.09224025098151,72.28178764483093,40.62679218033009,42.09224025098151,72.28178764483093,1.0915957899419633,-0.7493252666580368,-0.7517059217793048,39.9719162161647,42.31805586565242,72.28178764483093,0.0,1.8409210566,0.0,37.16253601619554,40.76836977686747,41.878723192983784,-1.8409210566,-1.0915957899419633,0.7517059217793047,35.0,40.76836977686747,61.3312660324242,0.7493252666580369,0.0,0.0,0.0,0.0,0.0,39.9719162161647,42.09224025098151,72.28178764483093,38.76618610475499,41.4480439283715,65.67392673275087,0,92000.0,148000.0,4.0,2.5860115694293926,-4.0,61.3312660324242,223726.69796887223,111863.34898443612,66.82445924952475,75.0,46000.0,495.0
2022-01-01 13:30:00,11.1,11.1,118.28,902351.8543607859,40500.0,11.1,42.42062803424928,11669.307321135513,3.4706430198,1.8409210566,37.16253601619554,1.0,-28780.692678864485,118280.0,118279.99999999999,895199.1551372978,40500.0,-170284.45535687648,0.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,61.77806812895817,24334299.719446316,-1.8409210566,37.16253601619554,"[0, 0, 0]",0,-85142.22767843824,510.0,37.26817052170424,40.9068395756843,62.44193769632232,39.322031840617676,41.602131504629824,67.48588135669533,40.12618560691066,42.19736168849286,73.38925483091,40.76836977686747,42.19736168849286,73.14878306388562,1.0998856630719342,-0.7410353935280658,-0.7493252666580369,40.12618560691066,42.42062803424928,73.14878306388562,0.0,1.8409210566,0.0,37.26817052170424,40.9068395756843,41.98583588675825,-1.8409210566,-1.0998856630719342,0.7493252666580368,35.0,40.9068395756843,61.77806812895817,0.7410353935280657,0.0,0.0,0.0,0.0,0.0,40.12618560691066,42.19736168849286,73.14878306388562,38.90546265641086,41.56877758960233,67.77235796130923,0,0.0,0.0,4.0,0.0,-4.0,62.44193769632232,-92833.6179943811,-46416.80899719055,62.44193769632232,75.0,0.0,510.0
2022-01-01 13:45:00,11.1,11.1,119.675,895199.1551372978,40500.0,11.1,42.52626253975799,11669.307321135513,3.4706430198,1.8409210566,37.26817052170424,1.0,-28780.692678864485,119675.0,119674.99999999997,887832.9089531577,40500.0,19471.33016165982,0.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,59.720774424067976,22769847.03961554,-1.8409210566,37.26817052170424,"[0, 0, 0]",0,9735.66508082991,525.0,37.35459878474477,41.03886178098557,59.720774424067976,39.476326725099995,41.71593224706031,66.80840750198603,40.27450984371953,42.30264011390747,72.59024258927873,40.9068395756843,42.30264011390747,72.59024258927873,1.0800052044518866,-0.7609158521481134,-0.7410353935280657,40.27450984371953,42.52626253975799,72.59024258927873,0.0,1.8409210566,0.0,37.35459878474477,41.03886178098557,42.09224025098151,-1.8409210566,-1.0800052044518866,0.7410353935280658,35.0,41.03886178098557,59.720774424067976,0.7609158521481134,0.0,0.0,0.0,0.0,0.0,40.27450984371953,42.30264011390747,72.59024258927873,39.03514511785477,41.68581138065112,66.37314150511092,0,0.0,0.0,4.0,0.0,-4.0,59.720774424067976,-170284.45535687648,-85142.22767843824,59.720774424067976,75.0,0.0,525.0
2022-01-01 14:00:00,11.1,11.1,121.07,887832.9089531577,40500.0,11.1,42.61269080279852,11669.307321135513,3.4706430198,1.8409210566,37.35459878474477,1.0,-28780.692678864485,121070.0,121070.0,881805.9780771312,40500.0,187241.36118301054,92000.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,57.314894438102144,21195632.560836118,-1.8409210566,37.35459878474477,"[0, 0, 0]",0,93620.68059150527,540.0,37.42169664809613,41.16418591791171,57.314894438102144,39.62573742557501,41.82535703831547,65.8324272916089,40.41610983172763,42.40165780893192,71.78691303346743,41.03886178098557,42.40165780893192,71.78691303346743,1.0543254417991048,-0.7865956148008952,-0.7609158521481134,40.41610983172763,42.61269080279852,71.78691303346743,0.0,1.8409210566,0.0,37.42169664809613,41.16418591791171,42.19736168849286,-1.8409210566,-1.0543254417991048,0.7609158521481134,35.0,41.16418591791171,57.314894438102144,0.7865956148008953,0.0,0.0,0.0,0.0,0.0,40.41610983172763,42.40165780893192,71.78691303346743,39.15451463513293,41.797066921719704,64.97807825439283,0,92000.0,74000.0,4.0,0.9993580206769843,-4.0,57.314894438102144,19471.33016165982,9735.66508082991,62.80808765520269,75.0,46000.0,540.0
2022-01-01 14:15:00,11.1,11.1,120.485,881805.9780771312,40500.0,11.1,42.679788666149875,11669.307321135513,3.4706430198,1.8409210566,37.42169664809613,1.0,-28780.692678864485,120485.0,120485.0,877127.0204060966,40500.0,-114583.45084591233,92000.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,61.64316612111729,19581337.57099921,-1.8409210566,37.42169664809613,"[0, 0, 0]",0,-57291.725422956166,555.0,37.50797968250789,41.28833383638716,61.64316612111729,39.775857833360476,41.93442485534874,63.87745499131294,40.55671135610717,42.49008545561608,72.35355622298147,41.16418591791171,42.49008545561608,72.35355622298147,1.070000988196179,-0.7709200684038211,-0.7865956148008953,40.55671135610717,42.679788666149875,72.35355622298147,0.0,1.8409210566,0.0,37.50797968250789,41.28833383638716,42.30264011390747,-1.8409210566,-1.070000988196179,0.7865956148008952,35.0,41.28833383638716,61.64316612111729,0.770920068403821,0.0,0.0,0.0,0.0,0.0,40.55671135610717,42.49008545561608,72.35355622298147,39.280182957325174,41.904281382450655,65.9580591118039,0,92000.0,148000.0,4.0,2.646398427960409,-4.0,61.64316612111729,187241.36118301054,93620.68059150527,67.13635933821784,75.0,46000.0,555.0
2022-01-01 14:30:00,11.1,11.1,119.9,877127.0204060966,40500.0,11.1,42.76664173197929,11510.770386735756,3.5184439129,1.8407215034,37.50797968250789,1.0,-28939.229613264244,119900.0,119900.0,871110.2168064502,40500.0,-195201.84983693328,0.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,62.14257598358252,17986525.809955444,-1.8407215034,37.50797968250789,"[0, 0, 0]",0,-97600.92491846664,570.0,37.61260354107609,41.41197823101402,62.79926170894264,39.9270421084898,42.041591818953094,67.8108360829822,40.6968700521483,42.577973034229956,73.4536047429013,41.28833383638716,42.577973034229956,73.21570676781528,1.090852138507326,-0.749869364892674,-0.770920068403821,40.6968700521483,42.76664173197929,73.21570676781528,0.0,1.8407215034,0.0,37.61260354107609,41.41197823101402,42.40165780893192,-1.8407215034,-1.090852138507326,0.7709200684038211,35.0,41.41197823101402,62.14257598358252,0.7498693648926741,0.0,0.0,0.0,0.0,0.0,40.6968700521483,42.577973034229956,73.21570676781528,39.4121719005714,42.010514361399025,68.02123417827538,0,0.0,0.0,4.0,0.0,-4.0,62.79926170894264,-114583.45084591233,-57291.725422956166,62.79926170894264,75.0,0.0,570.0
2022-01-01 14:45:00,11.1,11.1,119.315,871110.2168064502,40500.0,11.1,42.871265590547495,11510.770386735756,3.5184439129,1.8407215034,37.61260354107609,1.0,-28939.229613264244,119315.0,119315.00000000001,863814.4464022941,40500.0,-3566.403969046683,0.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,60.05114346035918,16408786.742892437,-1.8407215034,37.61260354107609,"[0, 0, 0]",0,-1783.2019845233415,585.0,37.706087980597445,41.531576225910676,60.05114346035918,40.07507038881215,42.14429288693955,67.12961904431751,40.83287329904846,42.671397177997285,72.68044318928153,41.41197823101402,42.671397177997285,72.68044318928153,1.08391062238102,-0.75681088101898,-0.7498693648926741,40.83287329904846,42.871265590547495,72.68044318928153,0.0,1.8407215034,0.0,37.706087980597445,41.531576225910676,42.49008545561608,-1.8407215034,-1.08391062238102,0.749869364892674,35.0,41.531576225910676,60.05114346035918,0.7568108810189799,0.0,0.0,0.0,0.0,0.0,40.83287329904846,42.671397177997285,72.68044318928153,39.538010556152685,42.1157554302825,66.62040189798607,0,0.0,0.0,4.0,0.0,-4.0,60.05114346035918,-195201.84983693328,-97600.92491846664,60.05114346035918,75.0,0.0,585.0
2022-01-01 15:00:00,11.0,11.1,118.73,863814.4464022941,40500.0,11.1,42.96475003006885,11510.770386735756,3.5184439129,1.8407215034,37.706087980597445,1.0,-28939.229613264244,118730.0,118730.0,857295.4648196716,40500.0,162827.30065249008,0.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,57.66500046865454,14837813.799012955,-1.8407215034,37.706087980597445,"[0, 0, 0]",0,81413.65032624504,600.0,37.7865640557311,41.64653596374632,57.66500046865454,40.21909124735595,42.244043467910316,66.1600336123307,40.964154705079906,42.76482896982494,71.9129053402545,41.531576225910676,42.76482896982494,71.9129053402545,1.0719618842356096,-0.7687596191643904,-0.7568108810189799,40.964154705079906,42.96475003006885,71.9129053402545,0.0,1.8407215034,0.0,37.7865640557311,41.64653596374632,42.577973034229956,-1.8407215034,-1.0719618842356096,0.75681088101898,35.0,41.64653596374632,57.66500046865454,0.7687596191643904,0.0,0.0,0.0,0.0,0.0,40.964154705079906,42.76482896982494,71.9129053402545,39.65660333605565,42.218469467160524,65.2459798070799,0,0.0,0.0,4.0,0.0,-4.0,57.66500046865454,-3566.403969046683,-1783.2019845233415,57.66500046865454,75.0,0.0,600.0
2022-01-01 15:15:00,11.0,11.0,117.18,857295.4648196716,38470.0,11.0,42.78164378519196,10933.810784635174,3.5184439129,1.8407215034,37.7865640557311,1.0,-27486.189215364826,117180.0,117180.0,851683.5998470181,38470.0,307862.21607538,92000.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,55.58514986507581,13932154.346661797,-1.8407215034,37.7865640557311,"[0, 0, 0]",0,153931.10803769,615.0,37.861659433821536,41.75779309599959,55.58514986507581,40.35969076087646,42.34191892234306,64.97894348044099,41.09141813331627,42.76662229609176,71.10552058687712,41.64653596374632,42.76662229609176,71.10552058687712,1.0650314785678656,-0.7756900248321343,-0.7687596191643904,41.09141813331627,42.78164378519196,71.10552058687712,0.0,1.8407215034,0.0,37.861659433821536,41.75779309599959,42.671397177997285,-1.8407215034,-1.0650314785678656,0.7687596191643904,35.0,41.75779309599959,55.58514986507581,0.7756900248321345,0.0,0.0,0.0,0.0,0.0,41.09141813331627,42.76662229609176,71.10552058687712,39.77092277600476,42.28877810481146,63.88987131079798,0,92000.0,148000.0,4.0,1.8206426490008838,-4.0,55.58514986507581,162827.30065249008,81413.65032624504,61.07834308217636,75.0,46000.0,615.0
2022-01-01 15:30:00,11.0,11.0,115.63,851683.5998470181,38470.0,11.0,42.8567391632824,10933.810784635174,3.5184439129,1.8407215034,37.861659433821536,1.0,-27486.189215364826,115630.0,115629.99999999999,846446.948814845,38470.0,64607.098491114455,92000.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,59.0133043850429,12998952.462932946,-1.8407215034,37.861659433821536,"[0, 0, 0]",0,32303.549245557228,630.0,37.96662915787937,41.869492724848385,59.073511971924745,40.501494267214945,42.42354589036078,64.85991051075929,41.219052329831385,42.79272921718526,72.26661342708718,41.75779309599959,42.79272921718526,72.00231343434727,1.0938429786657808,-0.7468785247342191,-0.7756900248321345,41.219052329831385,42.8567391632824,72.00231343434727,0.0,1.8407215034,0.0,37.96662915787937,41.869492724848385,42.76482896982494,-1.8407215034,-1.0938429786657808,0.7756900248321343,35.0,41.869492724848385,59.0133043850429,0.7468785247342191,0.0,0.0,0.0,0.0,0.0,41.219052329831385,42.79272921718526,72.00231343434727,39.8957252516419,42.36192261079814,65.40001196992374,0,92000.0,222000.0,4.0,3.3291241720044806,-4.0,59.073511971924745,307862.21607538,153931.10803769,64.5667051890253,75.0,46000.0,630.0
2022-01-01 15:45:00,11.0,11.0,114.08,846446.948814845,38470.0,11.0,42.96170888734023,10933.810784635174,3.5184439129,1.8407215034,37.96662915787937,1.0,-27486.189215364826,114080.0,114080.0,839127.0600572122,38470.0,-219695.71357606616,92000.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,62.276366728275065,12019677.03710646,-1.8407215034,37.96662915787937,"[0, 0, 0]",0,-109847.85678803308,645.0,38.10055457599653,41.978852710625056,63.15051214497227,40.64515363133093,42.49663108362471,67.32016313132519,41.347767924196845,42.84497701496468,73.64917279715887,41.869492724848385,42.84497701496468,73.3644239691177,1.1300168568104074,-0.7107046465895925,-0.7468785247342191,41.347767924196845,42.96170888734023,73.3644239691177,0.0,1.8407215034,0.0,38.10055457599653,41.978852710625056,42.76662229609176,-1.8407215034,-1.1300168568104074,0.7468785247342191,35.0,41.978852710625056,62.276366728275065,0.7107046465895926,0.0,0.0,0.0,0.0,0.0,41.347767924196845,42.84497701496468,73.3644239691177,40.0311587105081,42.44015360307148,68.03994935781878,0,92000.0,74000.0,4.0,1.4915203345520796,-4.0,63.15051214497227,64607.098491114455,32303.549245557228,68.64370536207282,75.0,46000.0,645.0
2022-01-01 16:00:00,10.9,11.0,112.53,839127.0600572122,38470.0,11.0,43.095634305457395,10933.810784635174,3.5184439129,1.8407215034,38.10055457599653,1.0,-27486.189215364826,112530.0,112530.00000000001,829787.9942338419,38470.0,-287804.95551132393,0.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,64.12722211536315,11006374.929169323,-1.8407215034,38.10055457599653,"[0, 0, 0]",0,-143902.47775566197,660.0,38.240731111759274,42.08277164456455,64.12722211536315,40.7884203077494,42.56679772564875,69.15832248961988,41.47492501672911,42.924284504934896,74.00007582741533,41.978852710625056,42.924284504934896,74.00007582741533,1.1510993701869796,-0.6896221332130203,-0.7107046465895926,41.47492501672911,43.095634305457395,74.00007582741533,0.0,1.8407215034,0.0,38.240731111759274,42.08277164456455,42.79272921718526,-1.8407215034,-1.1510993701869796,0.7107046465895925,35.0,42.08277164456455,64.12722211536315,0.6896221332130202,0.0,0.0,0.0,0.0,0.0,41.47492501672911,42.924284504934896,74.00007582741533,40.16802547874593,42.52461795838273,69.09520681079947,0,0.0,0.0,4.0,0.0,-4.0,64.12722211536315,-219695.71357606616,-109847.85678803308,64.12722211536315,75.0,0.0,660.0
2022-01-01 16:15:00,10.9,10.9,112.6725,829787.9942338419,38470.0,10.9,43.235810841220136,10933.810784635174,3.5184439129,1.8407215034,38.240731111759274,1.0,-27486.189215364826,112672.5,112672.5,820013.0171399867,38470.0,-103088.13786858137,0.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,61.4783193767005,11515246.54375419,-1.8407215034,38.240731111759274,"[0, 0, 0]",0,-51544.068934290684,675.0,38.351738267805935,42.17863534341832,61.4783193767005,40.92686209040042,42.63809908501442,68.52866645899887,41.59595055172636,43.023744528934024,73.38764255107769,42.08277164456455,43.023744528934024,73.38764255107769,1.1392099748100448,-0.7015115285899551,-0.6896221332130202,41.59595055172636,43.235810841220136,73.38764255107769,0.0,1.8407215034,0.0,38.351738267805935,42.17863534341832,42.84497701496468,-1.8407215034,-1.1392099748100448,0.6896221332130203,35.0,42.17863534341832,61.4783193767005,0.7015115285899552,0.0,0.0,0.0,0.0,0.0,41.59595055172636,43.023744528934024,73.38764255107769,40.29151696997757,42.61349298578892,67.79820946225902,0,0.0,0.0,4.0,0.0,-4.0,61.4783193767005,-287804.95551132393,-143902.47775566197,61.4783193767005,75.0,0.0,675.0
2022-01-01 16:30:00,10.9,10.9,112.815,820013.0171399867,38470.0,10.9,43.3468179972668,10933.810784635174,3.5184439129,1.8407215034,38.351738267805935,1.0,-27486.189215364826,112815.0,112815.0,812272.1181249996,38470.0,60713.2023424768,0.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,59.12935178285167,-300000.0,-1.8407215034,38.351738267805935,"[0, 0, 0]",0,30356.6011712384,690.0,38.44099768426021,42.26840558269346,59.12935178285167,41.06020131579223,42.71431463500254,67.63276709010799,41.71048988306541,43.12700675837663,72.76276567791201,42.17863534341832,43.12700675837663,72.76276567791201,1.1266998569891218,-0.7140216464108782,-0.7015115285899552,41.71048988306541,43.3468179972668,72.76276567791201,0.0,1.8407215034,0.0,38.44099768426021,42.26840558269346,42.924284504934896,-1.8407215034,-1.1266998569891218,0.7015115285899551,35.0,42.26840558269346,59.12935178285167,0.7140216464108782,0.0,0.0,0.0,0.0,0.0,41.71048988306541,43.12700675837663,72.76276567791201,40.403896294372615,42.70324232535754,66.50829485029055,0,0.0,0.0,4.0,0.0,-4.0,59.12935178285167,-103088.13786858137,-51544.068934290684,59.12935178285167,75.0,0.0,690.0
2022-01-01 16:45:00,10.9,10.9,112.9575,812272.1181249996,38470.0,10.9,43.43607741372107,10933.810784635174,3.5184439129,1.8407215034,38.44099768426021,1.0,-27486.189215364826,112957.5,112957.49999999999,806047.7614842547,38470.0,205429.91817436376,92000.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,57.054064270922126,-300000.0,-1.8407215034,38.44099768426021,"[0, 0, 0]",0,102714.95908718188,705.0,38.51263899507516,42.354298889013734,57.054064270922126,41.1880801252976,42.794992867388835,66.53398703309117,41.81860419505276,43.22560543573524,72.09213874274724,42.26840558269346,43.22560543573524,72.09213874274724,1.1128721165794713,-0.7278493868205287,-0.7140216464108782,41.81860419505276,43.43607741372107,72.09213874274724,0.0,1.8407215034,0.0,38.51263899507516,42.354298889013734,43.023744528934024,-1.8407215034,-1.1128721165794713,0.7140216464108782,35.0,42.354298889013734,57.054064270922126,0.7278493868205287,0.0,0.0,0.0,0.0,0.0,41.81860419505276,43.22560543573524,72.09213874274724,40.50644110514184,42.79163239737927,65.22673001558684,0,92000.0,74000.0,4.0,0.9848331319478043,-4.0,57.054064270922126,60713.2023424768,30356.6011712384,62.54725748802267,75.0,46000.0,705.0
2022-01-01 17:00:00,10.7,10.9,113.1,806047.7614842547,38470.0,10.9,43.50771872453602,11197.978842538194,3.43544139,1.8407215034,38.51263899507516,1.0,-27222.021157461808,113100.0,113100.00000000001,801051.9740767592,38470.0,-173550.14189266806,92000.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,62.488768765191224,-300000.0,-1.8407215034,38.51263899507516,"[0, 0, 0]",0,-86775.07094633403,720.0,38.59602656657635,42.43983475443467,62.488768765191224,41.31297241560322,42.87994658183811,63.914700968365196,41.92310930376922,43.31525161284637,72.59630362589759,42.354298889013734,43.31525161284637,72.59630362589759,1.121726651508498,-0.7189948518915019,-0.7278493868205287,41.92310930376922,43.50771872453602,72.59630362589759,0.0,1.8407215034,0.0,38.59602656657635,42.43983475443467,43.12700675837663,-1.8407215034,-1.121726651508498,0.7278493868205287,35.0,42.43983475443467,62.488768765191224,0.7189948518915019,0.0,0.0,0.0,0.0,0.0,41.92310930376922,43.31525161284637,72.59630362589759,40.61070276198293,42.878344316373045,66.33325778648468,0,92000.0,148000.0,4.0,2.825261840038543,-4.0,62.488768765191224,205429.91817436376,102714.95908718188,67.98196198229178,75.0,46000.0,720.0
2022-01-01 17:15:00,10.7,10.7,115.2725,801051.9740767592,38470.0,10.7,43.59110629603721,11197.978842538194,3.43544139,1.8407215034,38.59602656657635,1.0,-27222.021157461808,115272.5,115272.5,795237.0807574093,38470.0,-247611.03437134647,0.0,0,0,NaN,NaN,NaN,NaN,4.0,59.99400356297216,-4.0,62.7863963181051,-300000.0,-1.8407215034,38.59602656657635,"[0, 0, 0]",0,-123805.51718567323,735.0,38.679310241012054,42.525400276543564,63.550827452743974,41.43394341888303,42.966001063567035,68.53727158517384,42.023962349792235,43.40280851511324,73.65285549570756,42.43983475443467,43.40280851511324,73.42710462770424,1.123759114850269,-0.7169623885497309,-0.7189948518915019,42.023962349792235,43.59110629603721,73.42710462770424,0.0,1.8407215034,0.0,38.679310241012054,42.525400276543564,43.22560543573524,-1.8407215034,-1.123759114850269,0.7189948518915019,35.0,42.525400276543564,62.7863963181051,0.716962388549731,0.0,0.0,0.0,0.0,0.0,42.023962349792235,43.40280851511324,73.42710462770424,40.71240533656245,42.96473661840795,68.58031817787513,0,0.0,0.0,4.0,0.0,-4.0,63.550827452743974,-173550.14189266806,-86775.07094633403,63.550827452743974,75.0,0.0,735.0
